family,params,tp_pct,sl_pct,max_hold_bars,n_stocks,n_trades,win_rate,avg_win,avg_loss,profit_factor,sharpe,max_dd_pct,total_return_pct,trades_per_stock_year,aws,passes_gates
vwap_revert,"{'deviation_atr': 1.5, 'rsi_max': 25, 'direction': 'long'}",0.5,0.3,12,28,1056,0.3911,0.3883,-0.2773,0.899,-1.22,24.884,-17.95,21.5,0.0,0
vwap_revert,"{'deviation_atr': 1.5, 'rsi_max': 25, 'direction': 'long'}",0.8,0.4,24,28,1056,0.3684,0.5446,-0.3611,0.88,-1.369,35.308,-28.99,21.5,0.0,0
vwap_revert,"{'deviation_atr': 1.5, 'rsi_max': 25, 'direction': 'long'}",1.0,0.5,36,28,1056,0.3873,0.6137,-0.433,0.896,-1.165,39.187,-29.13,21.5,0.0,0
vwap_revert,"{'deviation_atr': 1.5, 'rsi_max': 25, 'direction': 'long'}",1.5,0.7,48,28,1056,0.429,0.7232,-0.5538,0.981,-0.179,24.945,-6.34,21.5,0.0,0
vwap_revert,"{'deviation_atr': 1.5, 'rsi_max': 25, 'direction': 'long'}",2.0,1.0,60,28,1056,0.4593,0.7482,-0.6888,0.923,-0.719,47.154,-30.43,21.5,0.0,0
vwap_revert,"{'deviation_atr': 1.5, 'rsi_max': 30, 'direction': 'long'}",0.5,0.3,12,28,2485,0.3871,0.3645,-0.2726,0.845,-2.421,69.626,-64.48,50.5,0.0,0
vwap_revert,"{'deviation_atr': 1.5, 'rsi_max': 30, 'direction': 'long'}",0.8,0.4,24,28,2485,0.3706,0.5091,-0.3566,0.841,-2.317,90.743,-88.8,50.5,0.0,0
vwap_revert,"{'deviation_atr': 1.5, 'rsi_max': 30, 'direction': 'long'}",1.0,0.5,36,28,2485,0.3875,0.5864,-0.4327,0.857,-1.939,98.369,-93.93,50.5,0.0,0
vwap_revert,"{'deviation_atr': 1.5, 'rsi_max': 30, 'direction': 'long'}",1.5,0.7,48,28,2485,0.4189,0.6742,-0.5482,0.887,-1.395,93.743,-89.67,50.5,0.0,0
vwap_revert,"{'deviation_atr': 1.5, 'rsi_max': 30, 'direction': 'long'}",2.0,1.0,60,28,2485,0.4435,0.7037,-0.6692,0.838,-1.784,155.893,-150.07,50.5,0.0,0
vwap_revert,"{'deviation_atr': 1.5, 'rsi_max': 35, 'direction': 'long'}",0.5,0.3,12,28,4689,0.3886,0.349,-0.2655,0.835,-3.081,127.912,-125.3,95.4,0.0,0
vwap_revert,"{'deviation_atr': 1.5, 'rsi_max': 35, 'direction': 'long'}",0.8,0.4,24,28,4689,0.3803,0.4875,-0.35,0.854,-2.516,150.036,-148.02,95.4,0.0,0
vwap_revert,"{'deviation_atr': 1.5, 'rsi_max': 35, 'direction': 'long'}",1.0,0.5,36,28,4689,0.3935,0.5678,-0.4277,0.861,-2.263,170.119,-168.69,95.4,0.0,0
vwap_revert,"{'deviation_atr': 1.5, 'rsi_max': 35, 'direction': 'long'}",1.5,0.7,48,28,4689,0.4137,0.6456,-0.539,0.845,-2.241,230.616,-229.32,95.4,0.0,0
vwap_revert,"{'deviation_atr': 1.5, 'rsi_max': 35, 'direction': 'long'}",2.0,1.0,60,28,4689,0.4398,0.6944,-0.6446,0.846,-1.941,268.227,-261.41,95.4,0.0,0
vwap_revert,"{'deviation_atr': 2.0, 'rsi_max': 25, 'direction': 'long'}",0.5,0.3,12,28,964,0.3963,0.389,-0.2772,0.921,-0.937,21.796,-12.76,19.6,0.0,0
vwap_revert,"{'deviation_atr': 2.0, 'rsi_max': 25, 'direction': 'long'}",0.8,0.4,24,28,964,0.3703,0.542,-0.3599,0.886,-1.286,28.453,-24.98,19.6,0.0,0
vwap_revert,"{'deviation_atr': 2.0, 'rsi_max': 25, 'direction': 'long'}",1.0,0.5,36,28,964,0.39,0.5963,-0.4342,0.878,-1.375,38.597,-31.08,19.6,0.0,0
