side,params,tp_pct,sl_pct,max_hold_bars,n_stocks,n_trades,win_rate,avg_win,avg_loss,profit_factor,sharpe,max_dd_pct,total_return_pct,trades_per_stock_year,aws,passes_gates
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 0.5, 'entry_bar': 2}",0.5,0.3,12,50,934,0.3565,0.4046,-0.2852,0.786,-2.411,39.0,-36.71,10.6,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 0.5, 'entry_bar': 2}",0.7,0.4,24,50,934,0.3405,0.5396,-0.3733,0.746,-2.847,61.734,-58.34,10.6,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 0.5, 'entry_bar': 2}",1.0,0.5,36,50,934,0.3458,0.649,-0.4631,0.741,-2.84,77.881,-73.34,10.6,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 0.5, 'entry_bar': 2}",1.5,0.7,48,50,934,0.3833,0.742,-0.6043,0.763,-2.573,91.956,-82.43,10.6,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 0.5, 'entry_bar': 2}",1.0,0.7,48,50,934,0.4122,0.6792,-0.6071,0.785,-2.41,85.704,-71.81,10.6,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 0.5, 'entry_bar': 2}",0.6,0.4,18,50,934,0.3715,0.4718,-0.3712,0.751,-2.895,58.767,-54.16,10.6,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 0.5, 'entry_bar': 3}",0.5,0.3,12,50,971,0.3502,0.4086,-0.2833,0.777,-2.768,40.25,-39.85,11.0,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 0.5, 'entry_bar': 3}",0.7,0.4,24,50,971,0.3491,0.5203,-0.3711,0.752,-2.923,58.38,-58.17,11.0,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 0.5, 'entry_bar': 3}",1.0,0.5,36,50,971,0.3594,0.6826,-0.4602,0.832,-1.862,58.322,-48.0,11.0,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 0.5, 'entry_bar': 3}",1.5,0.7,48,50,971,0.3584,0.823,-0.5883,0.781,-2.453,94.628,-80.1,11.0,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 0.5, 'entry_bar': 3}",1.0,0.7,48,50,971,0.4016,0.7306,-0.5929,0.827,-1.936,73.152,-59.53,11.0,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 0.5, 'entry_bar': 3}",0.6,0.4,18,50,971,0.378,0.4687,-0.362,0.787,-2.544,46.45,-46.63,11.0,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 0.5, 'entry_bar': 4}",0.5,0.3,12,50,937,0.3383,0.4123,-0.2805,0.752,-2.93,43.884,-43.18,10.6,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 0.5, 'entry_bar': 4}",0.7,0.4,24,50,937,0.3415,0.5538,-0.3651,0.787,-2.388,48.814,-48.02,10.6,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 0.5, 'entry_bar': 4}",1.0,0.5,36,50,937,0.3661,0.6615,-0.4568,0.836,-1.731,50.103,-44.46,10.6,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 0.5, 'entry_bar': 4}",1.5,0.7,48,50,937,0.3767,0.7625,-0.5866,0.786,-2.219,83.418,-73.41,10.6,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 0.5, 'entry_bar': 4}",1.0,0.7,48,50,937,0.4098,0.6925,-0.5918,0.813,-2.052,69.31,-61.35,10.6,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 0.5, 'entry_bar': 4}",0.6,0.4,18,50,937,0.3757,0.4762,-0.3613,0.793,-2.304,44.402,-43.72,10.6,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 1.0, 'entry_bar': 2}",0.5,0.3,12,50,1010,0.3554,0.4096,-0.2854,0.791,-2.396,41.054,-38.76,11.5,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 1.0, 'entry_bar': 2}",0.7,0.4,24,50,1010,0.3366,0.5453,-0.3747,0.738,-3.019,68.87,-65.69,11.5,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 1.0, 'entry_bar': 2}",1.0,0.5,36,50,1010,0.3465,0.6733,-0.4643,0.769,-2.535,73.898,-70.76,11.5,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 1.0, 'entry_bar': 2}",1.5,0.7,48,50,1010,0.3832,0.7787,-0.6075,0.796,-2.172,84.281,-77.11,11.5,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 1.0, 'entry_bar': 2}",1.0,0.7,48,50,1010,0.4139,0.7003,-0.6108,0.81,-2.102,78.046,-68.85,11.5,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 1.0, 'entry_bar': 2}",0.6,0.4,18,50,1010,0.3693,0.4786,-0.3705,0.756,-2.87,61.672,-57.46,11.5,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 1.0, 'entry_bar': 3}",0.5,0.3,12,50,1050,0.3524,0.4142,-0.2841,0.793,-2.615,40.363,-39.96,11.9,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 1.0, 'entry_bar': 3}",0.7,0.4,24,50,1050,0.3486,0.5311,-0.373,0.762,-2.861,60.332,-60.73,11.9,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 1.0, 'entry_bar': 3}",1.0,0.5,36,50,1050,0.3581,0.6984,-0.462,0.843,-1.761,56.609,-48.79,11.9,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 1.0, 'entry_bar': 3}",1.5,0.7,48,50,1050,0.361,0.846,-0.5929,0.806,-2.146,89.148,-77.23,11.9,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 1.0, 'entry_bar': 3}",1.0,0.7,48,50,1050,0.4048,0.7396,-0.5979,0.841,-1.77,70.674,-59.36,11.9,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 1.0, 'entry_bar': 3}",0.6,0.4,18,50,1050,0.3752,0.475,-0.364,0.784,-2.646,51.474,-51.66,11.9,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 1.0, 'entry_bar': 4}",0.5,0.3,12,50,1021,0.3438,0.4166,-0.281,0.777,-2.672,43.215,-42.07,11.6,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 1.0, 'entry_bar': 4}",0.7,0.4,24,50,1021,0.3428,0.5593,-0.3664,0.796,-2.339,50.886,-50.1,11.6,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 1.0, 'entry_bar': 4}",1.0,0.5,36,50,1021,0.3692,0.6819,-0.4584,0.871,-1.375,46.916,-38.15,11.6,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 1.0, 'entry_bar': 4}",1.5,0.7,48,50,1021,0.382,0.7868,-0.5905,0.823,-1.807,74.099,-65.78,11.6,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 1.0, 'entry_bar': 4}",1.0,0.7,48,50,1021,0.4153,0.7042,-0.5958,0.839,-1.769,65.361,-57.1,11.6,0.0,0
long,"{'rsi_bar3_min': 55, 'require_first_bullish': True, 'require_above_vwap': True, 'require_ema9_above_21': True, 'gap_max': 1.0, 'entry_bar': 4}",0.6,0.4,18,50,1021,0.379,0.4808,-0.3623,0.81,-2.21,44.742,-43.65,11.6,0.0,0
