symbol,n_sessions,L_b3_wr,L_b3_n,L_b3_avg_ret,L_b6_wr,L_b6_n,L_b6_avg_ret,S_b3_wr,S_b3_n,S_b3_avg_ret,S_b6_wr,S_b6_n,S_b6_avg_ret,L_b3_aboveVWAP_wr,L_b3_aboveVWAP_n,L_b3_aboveVWAP_avg_ret,S_b3_belowVWAP_wr,S_b3_belowVWAP_n,S_b3_belowVWAP_avg_ret,L_b3_strong_wr,L_b3_strong_n,L_b3_strong_avg_ret,S_b3_weak_wr,S_b3_weak_n,S_b3_weak_avg_ret
BHARTIARTL,436,0.48853211009174313,436,0.00014591549777268815,0.5160550458715596,436,0.00029959334446735505,0.5091743119266054,436,-0.00014591549777268815,0.48394495412844035,436,-0.00029959334446735505,0.49523809523809526,210,0.00023708486952380122,0.5132743362831859,226,-6.120059481811409e-05,0.46017699115044247,113,0.0003328531410545101,0.5104166666666666,96,0.0006116387392729163
HDFCBANK,436,0.4426605504587156,436,-9.691197641996739e-05,0.4518348623853211,436,-0.00010846470323698866,0.5481651376146789,436,9.691197641996739e-05,0.5389908256880734,436,0.00010846470323698866,0.4311111111111111,225,9.059200822746052e-05,0.5450236966824644,211,0.0002968569837454236,0.4077669902912621,103,-0.00034952926587421447,0.5980392156862745,102,0.0008934858093768876
ICICIBANK,436,0.4908256880733945,436,0.00041727094067314357,0.5091743119266054,436,0.0005464462221285535,0.5045871559633027,436,-0.00041727094067314357,0.48623853211009177,436,-0.0005464462221285535,0.475,200,0.00044678997560213056,0.4915254237288136,236,-0.0003922548093773921,0.4583333333333333,96,0.0006572174159981573,0.4700854700854701,117,-0.000950990040988335
INFY,436,0.48623853211009177,436,-9.424494050196403e-05,0.48394495412844035,436,0.00011204535166663619,0.5114678899082569,436,9.424494050196403e-05,0.5114678899082569,436,-0.00011204535166663619,0.4731182795698925,186,0.00017803260867232584,0.504,250,0.0002968194370876358,0.48514851485148514,101,0.0004958421916516157,0.4796747967479675,123,-0.00020971268937548348
KOTAKBANK,436,0.48394495412844035,436,0.0002359468105468515,0.4793577981651376,436,0.0002833226158899018,0.5160550458715596,436,-0.0002359468105468515,0.5137614678899083,436,-0.0002833226158899018,0.4186046511627907,215,-0.0004381169217690258,0.45248868778280543,221,-0.0008917101700396732,0.40540540540540543,111,-0.0006215299265512723,0.4745762711864407,118,-0.0004386808879542096
SBIN,436,0.4724770642201835,436,-0.0001951302773737443,0.49311926605504586,436,2.00181520805097e-05,0.5206422018348624,436,0.0001951302773737443,0.5045871559633027,436,-2.00181520805097e-05,0.4895833333333333,192,0.0001134770164553478,0.5368852459016393,244,0.0004379688036654888,0.5370370370370371,108,0.0017911996546946028,0.5402298850574713,87,0.000862571516450392
TCS,436,0.4518348623853211,436,-0.0006497543327048265,0.46788990825688076,436,-0.0006061820761386367,0.5435779816513762,436,0.0006497543327048265,0.5321100917431193,436,0.0006061820761386367,0.4666666666666667,195,0.00013911624062084134,0.5560165975103735,241,0.001288052099503603,0.5052631578947369,95,0.0005929324144837987,0.5423728813559322,118,0.001076438220886186
ITC,436,0.46559633027522934,436,-0.00014753608024490353,0.45871559633027525,436,-5.5969091236822987e-05,0.5229357798165137,436,0.00014753608024490353,0.536697247706422,436,5.5969091236822987e-05,0.5,206,2.0479248873582124e-05,0.5521739130434783,230,0.00029801937502059054,0.5268817204301075,93,0.0008494652278011297,0.5423728813559322,118,-0.00034401044131239375
HINDUNILVR,436,0.4908256880733945,436,0.00012177694036000486,0.4954128440366973,436,4.6710317244023936e-05,0.5068807339449541,436,-0.00012177694036000486,0.5045871559633027,436,-4.6710317244023936e-05,0.4947916666666667,192,0.0002263915419041682,0.5061728395061729,243,-0.00017724693468683587,0.5353535353535354,99,0.0007083368276715904,0.43137254901960786,102,-0.0012866456493157684
RELIANCE,436,0.4610091743119266,436,-0.0007942408555086507,0.4518348623853211,436,-0.0005096750753161165,0.5389908256880734,436,0.0007942408555086507,0.5458715596330275,436,0.0005096750753161165,0.4885844748858447,219,-0.0003926918589409324,0.5668202764976958,217,0.001199490764487131,0.49107142857142855,112,1.6747989916559153e-05,0.5490196078431373,102,0.0005629032151225844
BANKNIFTY,445,0.46741573033707867,445,3.4953898903684614e-06,0.48314606741573035,445,0.0001583237486644285,0.5325842696629214,445,-3.4953898903684614e-06,0.5168539325842697,445,-0.0001583237486644285,0.4675324675324675,231,-1.623866109344551e-05,0.5305164319248826,213,-3.859089761632838e-05,0.46017699115044247,113,5.270785251519153e-05,0.5714285714285714,77,0.000260001979006928
