family,params,tp_pct,sl_pct,max_hold_bars,n_stocks,n_trades,win_rate,avg_win,avg_loss,profit_factor,sharpe,max_dd_pct,total_return_pct,trades_per_stock_year,aws,passes_gates
diamond_short,"{'entry_bar': 3, 'rsi_threshold': 35, 'nifty_filter': 'none'}",0.5,1.5,60,25,1977,0.7683,0.4831,-1.1966,1.339,2.506,12.847,185.84,44.7,5.8568,1
diamond_short,"{'entry_bar': 3, 'rsi_threshold': 35, 'nifty_filter': 'none'}",1.0,1.5,60,25,1977,0.6555,0.8657,-1.1413,1.444,3.134,10.503,344.75,44.7,5.3867,1
diamond_short,"{'entry_bar': 3, 'rsi_threshold': 35, 'nifty_filter': 'none'}",1.5,2.0,60,25,1977,0.6388,1.0905,-1.1963,1.612,3.56,18.274,523.11,44.7,5.8638,0
diamond_short,"{'entry_bar': 3, 'rsi_threshold': 35, 'nifty_filter': 'none'}",0.7,1.0,48,25,1977,0.6313,0.6579,-0.8837,1.274,2.218,11.199,176.76,44.7,4.5152,0
diamond_short,"{'entry_bar': 3, 'rsi_threshold': 35, 'nifty_filter': 'none'}",5.0,2.0,60,25,1977,0.5989,1.3734,-1.1853,1.73,3.254,17.37,686.18,44.7,5.8979,0
diamond_short,"{'entry_bar': 3, 'rsi_threshold': 35, 'nifty_filter': 'none'}",3.0,1.5,60,25,1977,0.5761,1.3634,-1.1186,1.657,3.334,15.699,615.55,44.7,5.4331,0
diamond_short,"{'entry_bar': 3, 'rsi_threshold': 35, 'nifty_filter': 'none'}",2.0,99.0,60,25,1977,0.6474,1.2352,-1.1516,1.97,4.341,19.549,778.38,44.7,7.2596,0
diamond_short,"{'entry_bar': 3, 'rsi_threshold': 35, 'nifty_filter': 'below_vwap_b3'}",0.5,1.5,60,25,1095,0.7808,0.4858,-1.2118,1.428,3.365,10.723,124.51,24.8,5.8538,1
diamond_short,"{'entry_bar': 3, 'rsi_threshold': 35, 'nifty_filter': 'below_vwap_b3'}",1.0,1.5,60,25,1095,0.6603,0.8781,-1.1622,1.468,3.39,11.972,202.54,24.8,5.0899,1
diamond_short,"{'entry_bar': 3, 'rsi_threshold': 35, 'nifty_filter': 'below_vwap_b3'}",1.5,2.0,60,25,1095,0.642,1.1156,-1.2159,1.646,3.807,13.458,307.67,24.8,5.5458,0
diamond_short,"{'entry_bar': 3, 'rsi_threshold': 35, 'nifty_filter': 'below_vwap_b3'}",0.7,1.0,48,25,1095,0.6265,0.6625,-0.9058,1.227,1.923,10.804,84.02,24.8,3.4484,0
diamond_short,"{'entry_bar': 3, 'rsi_threshold': 35, 'nifty_filter': 'below_vwap_b3'}",5.0,2.0,60,25,1095,0.6064,1.4035,-1.2133,1.782,3.62,14.695,409.0,24.8,5.6731,0
diamond_short,"{'entry_bar': 3, 'rsi_threshold': 35, 'nifty_filter': 'below_vwap_b3'}",3.0,1.5,60,25,1095,0.5799,1.4256,-1.1451,1.719,3.684,14.636,378.54,24.8,5.232,0
diamond_short,"{'entry_bar': 3, 'rsi_threshold': 35, 'nifty_filter': 'below_vwap_b3'}",2.0,99.0,60,25,1095,0.6475,1.28,-1.184,1.986,4.579,25.035,450.48,24.8,6.7494,0
