symbol,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
BHARTIARTL,436,11,0.2727,0.6588,-0.472,0.523,2.776,-4.22,-1.8
HDFCBANK,436,4,0.5,0.2356,-0.8001,0.295,0.6,-7.046,-1.13
ICICIBANK,436,8,0.5,0.4324,-0.7781,0.556,1.112,-3.826,-1.38
INFY,436,11,0.7273,0.4395,-0.7869,1.489,1.0,2.47,1.16
KOTAKBANK,436,10,0.5,0.829,-0.58,1.429,1.0,2.364,1.24
SBIN,436,15,0.4667,0.8847,-0.5958,1.299,3.307,1.802,1.43
TCS,436,13,0.6923,0.4413,-0.6501,1.527,1.401,2.595,1.37
ITC,436,8,0.5,0.7938,-0.5943,1.336,1.0,1.933,0.8
HINDUNILVR,436,13,0.7692,0.6426,-0.4304,4.977,1.0,10.76,5.14
RELIANCE,436,12,0.5,0.5349,-0.6321,0.846,1.609,-1.093,-0.58
AARTIIND,442,27,0.4444,0.8545,-0.957,0.714,8.274,-2.544,-4.1
AAVAS,442,27,0.5556,0.6709,-0.6465,1.297,3.483,1.709,2.3
ABBOTINDIA,442,11,0.4545,0.3887,-0.6604,0.49,3.019,-4.636,-2.02
ABCAPITAL,442,25,0.4,0.8524,-0.8917,0.637,8.375,-3.384,-4.85
ACC,442,16,0.5,0.8483,-0.9064,0.936,5.488,-0.497,-0.46
ADANIGREEN,442,24,0.3333,0.8677,-0.8383,0.518,6.471,-4.963,-6.47
ADANIPOWER,442,13,0.2308,1.0,-0.9215,0.326,5.215,-8.727,-6.21
ADVENZYMES,442,24,0.375,0.7941,-0.8744,0.545,8.97,-4.466,-5.97
AFFLE,442,25,0.48,1.0,-0.8645,1.068,5.056,0.494,0.76
AIAENG,442,15,0.6,0.9064,-0.7094,1.917,2.094,4.649,3.9
AJANTPHARM,442,24,0.5417,0.8723,-0.6049,1.704,4.158,3.818,4.69
ALKEM,442,20,0.55,0.9224,-0.568,1.985,2.201,4.866,5.03
AMBER,442,37,0.4865,0.8035,-0.9457,0.805,12.826,-1.615,-3.5
APLAPOLLO,442,20,0.55,0.8665,-0.7796,1.358,4.748,2.247,2.51
APLLTD,442,23,0.6522,0.7543,-0.859,1.646,2.926,3.561,4.44
APOLLOTYRE,442,25,0.52,0.9253,-0.7483,1.339,5.0,2.147,3.05
ASAHIINDIA,442,30,0.4667,0.8861,-0.9065,0.855,7.0,-1.17,-2.1
ASHOKA,442,31,0.3548,0.8218,-0.8662,0.522,8.296,-4.836,-8.28
ASHOKLEY,442,18,0.4444,0.771,-0.7683,0.803,3.237,-1.543,-1.52
ASTERDM,442,23,0.3478,0.6659,-0.7767,0.457,5.58,-5.606,-6.32
ASTRAL,442,21,0.5714,0.7468,-0.757,1.316,3.779,1.953,2.15
ATUL,442,15,0.3333,0.7761,-0.8056,0.482,3.626,-5.356,-4.18
AUBANK,442,25,0.48,0.8258,-0.8493,0.898,5.789,-0.804,-1.13
AUROPHARMA,442,28,0.6786,0.9542,-0.9148,2.202,2.503,6.209,9.9
BAJAJCON,442,22,0.5455,0.9425,-0.9819,1.152,3.509,1.085,1.49
BAJAJELEC,442,15,0.3333,1.0,-0.7897,0.633,2.897,-3.329,-2.9
BAJAJHLDNG,442,16,0.4375,1.0,-0.778,1.0,3.698,-0.002,-0.0
BALKRISIND,442,21,0.5238,0.8656,-0.7614,1.251,4.337,1.604,1.91
BALMLAWRIE,442,18,0.2222,1.0,-0.924,0.309,7.935,-9.378,-8.94
BALRAMCHIN,442,25,0.68,0.8919,-0.7104,2.668,2.0,7.35,9.48
BANDHANBNK,442,31,0.3226,0.7228,-0.6954,0.495,9.083,-4.969,-7.38
BANKINDIA,442,36,0.4167,0.8527,-0.7629,0.798,6.458,-1.636,-3.23
BASF,442,29,0.4828,0.9329,-0.7365,1.182,5.029,1.219,2.01
