symbol,system,direction,entry_time,exit_time,entry_price,exit_price,bars_held,gross_ret_pct,net_ret_pct,exit_reason,capital_used,risk_rs,nav_at_entry,nav_after,exit_date
SJVN,SHORT,short,2024-03-18 09:50:00,2024-03-18 09:50:00,126.0,126.504,0,-0.4000000000000039,-0.6000000000000039,SL,750000.0,3000.0,1000000.0,995500.0,2024-03-18
RAIN,SHORT,short,2024-03-18 09:50:00,2024-03-18 09:50:00,159.7,160.3388,0,-0.4000000000000022,-0.6000000000000022,SL,750000.0,3000.0,995500.0,991000.0,2024-03-18
AMBER,SHORT,short,2024-03-18 09:50:00,2024-03-18 09:55:00,3405.25,3381.41325,1,0.6999999999999982,0.49999999999999817,TP,750000.0,3000.0,995500.0,994750.0,2024-03-18
TCIEXP,SHORT,short,2024-03-18 09:50:00,2024-03-18 10:10:00,1010.5,1003.4265,4,0.6999999999999967,0.4999999999999967,TP,750000.0,3000.0,995500.0,998500.0,2024-03-18
KNRCON,SHORT,short,2024-03-18 09:50:00,2024-03-18 09:55:00,238.75,239.705,1,-0.40000000000000524,-0.6000000000000052,SL,750000.0,3000.0,991000.0,994000.0,2024-03-18
BANDHANBNK,SHORT,short,2024-03-18 09:50:00,2024-03-18 09:55:00,183.85,184.5854,1,-0.39999999999999925,-0.5999999999999992,SL,750000.0,3000.0,991000.0,989500.0,2024-03-18
ALKEM,LONG_MR,long,2024-03-18 12:00:00,2024-03-18 12:25:00,4949.2,4983.844399999999,5,0.6999999999999843,0.4999999999999843,TP,750000.0,3000.0,989500.0,993249.9999999999,2024-03-18
BANDHANBNK,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 10:30:00,181.65,180.92340000000002,7,-0.3999999999999948,-0.5999999999999948,SL,750000.0,3000.0,993249.9999999999,988749.9999999999,2024-03-21
JKCEMENT,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 10:35:00,4065.25,4093.7067499999994,8,0.6999999999999845,0.4999999999999845,TP,750000.0,3000.0,993249.9999999999,992499.9999999998,2024-03-21
PNBHOUSING,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 10:50:00,634.5,638.9414999999999,11,0.6999999999999851,0.49999999999998507,TP,750000.0,3000.0,993249.9999999999,996249.9999999997,2024-03-21
WELCORP,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 10:40:00,517.2,520.8204,9,0.6999999999999814,0.4999999999999814,TP,750000.0,3000.0,993249.9999999999,999999.9999999995,2024-03-21
MGL,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 11:40:00,1301.25,1296.045,21,-0.39999999999999436,-0.5999999999999943,SL,750000.0,3000.0,993249.9999999999,995499.9999999995,2024-03-21
GALAXYSURF,LONG_TC,long,2024-03-21 10:30:00,2024-03-21 10:30:00,2310.1,2300.8596,0,-0.4000000000000059,-0.6000000000000059,SL,750000.0,3000.0,988749.9999999999,990999.9999999995,2024-03-21
DBL,LONG_TC,long,2024-03-27 10:00:00,2024-03-27 10:00:00,423.7,426.66589999999997,0,0.6999999999999945,0.4999999999999945,TP,750000.0,3000.0,990999.9999999995,994749.9999999995,2024-03-27
TIINDIA,SHORT,short,2024-04-04 09:50:00,2024-04-04 10:05:00,3662.95,3677.6018,3,-0.40000000000000263,-0.6000000000000026,SL,750000.0,3000.0,994749.9999999995,990249.9999999995,2024-04-04
SOBHA,LONG_TC,long,2024-04-08 10:00:00,2024-04-08 10:00:00,1535.85,1529.7066,0,-0.3999999999999954,-0.5999999999999954,SL,750000.0,3000.0,990249.9999999995,985749.9999999995,2024-04-08
JKPAPER,LONG_TC,long,2024-04-08 10:00:00,2024-04-08 10:05:00,356.4,354.9744,1,-0.3999999999999929,-0.599999999999993,SL,750000.0,3000.0,985749.9999999995,981249.9999999995,2024-04-08
WHIRLPOOL,LONG_TC,long,2024-04-08 10:10:00,2024-04-08 11:05:00,1390.0,1399.7299999999998,11,0.699999999999985,0.49999999999998496,TP,750000.0,3000.0,981249.9999999995,984999.9999999994,2024-04-08
