symbol,system,direction,entry_time,exit_time,entry_price,exit_price,bars_held,gross_ret_pct,net_ret_pct,exit_reason,capital_used,risk_rs,nav_at_entry,nav_after,exit_date
SJVN,SHORT,short,2024-03-18 09:50:00,2024-03-18 10:25:00,126.0,127.88999999999999,7,-1.4999999999999891,-1.699999999999989,SL,200000.0,3000.0,1000000.0,996600.0,2024-03-18
AMBER,SHORT,short,2024-03-18 09:50:00,2024-03-18 11:00:00,3405.25,3337.145,14,2.0000000000000004,1.8000000000000005,TP,200000.0,3000.0,1000000.0,1000200.0,2024-03-18
TCIEXP,SHORT,short,2024-03-18 09:50:00,2024-03-18 14:35:00,1010.5,1025.6574999999998,57,-1.4999999999999802,-1.6999999999999802,SL,200000.0,3000.0,1000000.0,996800.0,2024-03-18
RAIN,SHORT,short,2024-03-18 09:50:00,2024-03-18 14:50:00,159.7,158.95,60,0.46963055729492803,0.269630557294928,EOD,200000.0,3000.0,1000000.0,997339.2611145899,2024-03-18
KNRCON,SHORT,short,2024-03-18 09:50:00,2024-03-18 14:50:00,238.75,238.45,60,0.12565445026178487,-0.07434554973821514,EOD,200000.0,3000.0,1000000.0,997190.5700151135,2024-03-18
ALKEM,LONG_MR,long,2024-03-18 12:00:00,2024-03-18 15:25:00,4949.2,4985.0,41,0.7233492281580899,0.5233492281580898,EOD,200000.0,3000.0,1000200.0,998237.2684714296,2024-03-18
JKCEMENT,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 14:55:00,4065.25,4105.75,60,0.9962486931923006,0.7962486931923005,EOD,200000.0,3000.0,998237.2684714296,999829.7658578142,2024-03-21
PNBHOUSING,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 14:55:00,634.5,642.15,60,1.2056737588652446,1.0056737588652447,EOD,200000.0,3000.0,998237.2684714296,1001841.1133755447,2024-03-21
WELCORP,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 11:10:00,517.2,527.5440000000001,15,2.0000000000000098,1.8000000000000098,TP,200000.0,3000.0,998237.2684714296,1005441.1133755447,2024-03-21
BANDHANBNK,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 14:55:00,181.65,180.3,60,-0.7431874483897574,-0.9431874483897573,EOD,200000.0,3000.0,998237.2684714296,1003554.7384787651,2024-03-21
MGL,LONG_TC,long,2024-03-21 09:55:00,2024-03-21 14:55:00,1301.25,1321.35,60,1.5446685878962467,1.3446685878962468,EOD,200000.0,3000.0,998237.2684714296,1006244.0756545577,2024-03-21
