symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
BHARTIARTL,compression,long,436,335,0.4179,0.6278,-0.3529,1.277,5.41,1.648,19.08
BHARTIARTL,compression,short,436,126,0.4603,0.5289,-0.3776,1.195,5.723,1.191,5.0
HDFCBANK,compression,long,436,361,0.3629,0.5008,-0.3342,0.853,14.869,-1.062,-11.27
HDFCBANK,compression,short,436,119,0.4538,0.441,-0.3524,1.04,3.838,0.264,0.91
ICICIBANK,compression,long,436,360,0.3944,0.5375,-0.3571,0.98,14.559,-0.134,-1.52
ICICIBANK,compression,short,436,129,0.4264,0.5059,-0.356,1.056,2.98,0.369,1.48
INFY,compression,long,436,336,0.375,0.5941,-0.3562,1.001,10.113,0.004,0.04
INFY,compression,short,436,135,0.4593,0.6242,-0.3711,1.429,3.066,2.457,11.61
KOTAKBANK,compression,long,436,351,0.3732,0.6266,-0.3789,0.985,8.811,-0.106,-1.27
KOTAKBANK,compression,short,436,119,0.4706,0.5145,-0.3718,1.23,6.502,1.435,5.39
SBIN,compression,long,436,356,0.3708,0.5976,-0.3638,0.968,12.564,-0.222,-2.6
SBIN,compression,short,436,154,0.4351,0.4563,-0.3525,0.997,4.732,-0.02,-0.09
TCS,compression,long,436,332,0.3524,0.4856,-0.3499,0.755,24.262,-1.898,-18.41
TCS,compression,short,436,122,0.5,0.481,-0.3513,1.369,5.126,2.082,7.91
ITC,compression,long,436,356,0.3961,0.5371,-0.3396,1.037,8.973,0.241,2.72
ITC,compression,short,436,119,0.3866,0.5124,-0.3334,0.968,6.394,-0.213,-0.77
HINDUNILVR,compression,long,436,371,0.3639,0.5266,-0.3573,0.843,14.577,-1.167,-13.24
HINDUNILVR,compression,short,436,129,0.4341,0.5717,-0.3623,1.21,3.235,1.302,5.57
RELIANCE,compression,long,436,358,0.3603,0.5527,-0.3562,0.874,13.198,-0.915,-10.27
RELIANCE,compression,short,436,151,0.4371,0.4832,-0.3527,1.064,4.201,0.421,1.92
AARTIIND,compression,long,442,294,0.2619,0.7774,-0.3839,0.719,29.598,-2.32,-23.45
AARTIIND,compression,short,442,109,0.3394,0.7544,-0.3744,1.036,3.501,0.244,0.96
AAVAS,compression,long,442,291,0.3436,0.75,-0.3838,1.023,6.781,0.16,1.69
AAVAS,compression,short,442,106,0.3302,0.7017,-0.3713,0.932,8.238,-0.485,-1.8
ABBOTINDIA,compression,long,442,341,0.3109,0.807,-0.3784,0.962,16.312,-0.27,-3.37
ABBOTINDIA,compression,short,442,117,0.5043,0.6468,-0.3607,1.824,2.194,4.087,17.24
ABCAPITAL,compression,long,442,302,0.3013,0.7961,-0.3893,0.882,14.991,-0.882,-9.69
ABCAPITAL,compression,short,442,126,0.3571,0.8041,-0.3963,1.127,4.174,0.843,4.08
ACC,compression,long,442,330,0.3091,0.6951,-0.3671,0.847,18.575,-1.148,-12.8
ACC,compression,short,442,141,0.3475,0.6091,-0.352,0.921,6.749,-0.559,-2.54
ADANIGREEN,compression,long,442,238,0.2311,0.8988,-0.3896,0.693,25.855,-2.604,-21.85
ADANIGREEN,compression,short,442,107,0.4019,0.7955,-0.392,1.364,3.4,2.197,9.12
ADANIPOWER,compression,long,442,246,0.2846,0.8696,-0.3937,0.878,17.636,-0.916,-8.42
ADANIPOWER,compression,short,442,108,0.4907,0.8038,-0.3801,2.038,2.4,5.036,21.7
ADVENZYMES,compression,long,442,248,0.2903,0.9221,-0.3927,0.961,14.945,-0.284,-2.72
ADVENZYMES,compression,short,442,106,0.3396,0.8674,-0.3905,1.142,3.701,0.937,3.89
AFFLE,compression,long,442,273,0.3333,0.8736,-0.3876,1.127,7.368,0.839,8.96
AFFLE,compression,short,442,105,0.3619,0.8425,-0.3954,1.209,2.974,1.35,5.52
AIAENG,compression,long,442,314,0.3248,0.7915,-0.3776,1.008,17.932,0.058,0.67
AIAENG,compression,short,442,106,0.3396,0.7832,-0.393,1.025,4.438,0.172,0.68
AJANTPHARM,compression,long,442,278,0.3705,0.8562,-0.3771,1.336,8.06,2.023,22.2
AJANTPHARM,compression,short,442,96,0.4583,0.7379,-0.3887,1.606,4.98,3.325,12.25
ALKEM,compression,long,442,345,0.3623,0.6645,-0.3815,0.99,11.424,-0.072,-0.87
ALKEM,compression,short,442,145,0.3379,0.6659,-0.3776,0.9,6.764,-0.728,-3.63
AMBER,compression,long,442,246,0.3293,0.8442,-0.3933,1.054,7.158,0.369,3.49
AMBER,compression,short,442,86,0.314,0.8504,-0.3723,1.045,4.13,0.31,1.0
APLAPOLLO,compression,long,442,314,0.3567,0.7621,-0.391,1.081,7.977,0.546,6.36
APLAPOLLO,compression,short,442,109,0.3853,0.6823,-0.3737,1.145,4.682,0.928,3.62
APLLTD,compression,long,442,290,0.3,0.9135,-0.3934,0.995,11.643,-0.034,-0.38
APLLTD,compression,short,442,103,0.3301,0.7496,-0.3847,0.96,7.465,-0.284,-1.05
APOLLOTYRE,compression,long,442,307,0.329,0.749,-0.379,0.969,8.201,-0.219,-2.42
APOLLOTYRE,compression,short,442,107,0.3832,0.7977,-0.3756,1.319,9.13,1.925,7.92
ASAHIINDIA,compression,long,442,280,0.2857,0.8845,-0.3904,0.906,15.496,-0.696,-7.32
ASAHIINDIA,compression,short,442,109,0.3028,0.8282,-0.4,0.899,7.584,-0.756,-3.07
ASHOKA,compression,long,442,227,0.2379,0.869,-0.3942,0.688,26.551,-2.68,-21.27
ASHOKA,compression,short,442,103,0.4563,0.8005,-0.386,1.74,2.435,3.894,16.01
ASHOKLEY,compression,long,442,324,0.3333,0.7721,-0.3844,1.004,16.724,0.03,0.36
ASHOKLEY,compression,short,442,116,0.3448,0.6143,-0.3638,0.889,5.086,-0.8,-3.08
ASTERDM,compression,long,442,298,0.3389,0.817,-0.3904,1.073,9.468,0.495,5.6
ASTERDM,compression,short,442,100,0.27,0.6476,-0.3858,0.621,14.292,-3.324,-10.68
ASTRAL,compression,long,442,310,0.3258,0.6947,-0.3858,0.87,21.403,-0.978,-10.47
ASTRAL,compression,short,442,117,0.3077,0.6715,-0.386,0.773,12.075,-1.803,-7.09
ATUL,compression,long,442,317,0.3249,0.8427,-0.3757,1.08,12.649,0.534,6.4
ATUL,compression,short,442,120,0.3917,0.6863,-0.3808,1.161,4.815,1.032,4.46
AUBANK,compression,long,442,324,0.358,0.7548,-0.3817,1.103,9.559,0.682,8.18
AUBANK,compression,short,442,106,0.3113,0.6715,-0.3769,0.806,9.11,-1.491,-5.35
AUROPHARMA,compression,long,442,315,0.2921,0.8109,-0.3921,0.853,22.096,-1.121,-12.83
AUROPHARMA,compression,short,442,112,0.4196,0.7238,-0.4,1.308,3.293,1.89,8.02
BAJAJCON,compression,long,442,267,0.2884,0.8262,-0.3949,0.848,15.208,-1.173,-11.41
BAJAJCON,compression,short,442,111,0.3063,0.8279,-0.3792,0.964,5.991,-0.256,-1.05
BAJAJELEC,compression,long,442,307,0.2508,0.7118,-0.3845,0.62,34.192,-3.378,-33.62
BAJAJELEC,compression,short,442,98,0.3265,0.8209,-0.3871,1.028,7.713,0.194,0.72
BAJAJHLDNG,compression,long,442,292,0.3048,0.8179,-0.372,0.964,10.461,-0.255,-2.73
BAJAJHLDNG,compression,short,442,116,0.2931,0.6503,-0.379,0.711,8.569,-2.354,-8.97
