symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
BHARTIARTL,failed_breakout,short,436,219,0.3836,0.568,-0.3697,0.956,12.666,-0.307,-2.19
BHARTIARTL,failed_breakout,long,436,226,0.292,0.677,-0.376,0.743,19.67,-2.075,-15.47
HDFCBANK,failed_breakout,short,436,213,0.4225,0.4865,-0.3701,0.962,11.75,-0.267,-1.74
HDFCBANK,failed_breakout,long,436,229,0.3755,0.5317,-0.3611,0.885,12.398,-0.823,-5.91
ICICIBANK,failed_breakout,short,436,219,0.3927,0.5029,-0.3757,0.865,14.961,-0.995,-6.73
ICICIBANK,failed_breakout,long,436,225,0.3822,0.6038,-0.3678,1.016,9.003,0.107,0.8
INFY,failed_breakout,short,436,191,0.3717,0.6308,-0.3755,0.994,12.256,-0.043,-0.28
INFY,failed_breakout,long,436,189,0.3545,0.5803,-0.3717,0.857,16.241,-1.046,-6.47
KOTAKBANK,failed_breakout,short,436,222,0.3919,0.6187,-0.3776,1.056,14.288,0.381,2.85
KOTAKBANK,failed_breakout,long,436,213,0.3662,0.6543,-0.3845,0.983,8.83,-0.116,-0.87
SBIN,failed_breakout,short,436,229,0.4105,0.5826,-0.3752,1.081,5.424,0.535,4.1
SBIN,failed_breakout,long,436,231,0.3074,0.6491,-0.3679,0.783,16.849,-1.699,-12.78
TCS,failed_breakout,short,436,192,0.4167,0.5475,-0.3725,1.05,8.037,0.333,2.08
TCS,failed_breakout,long,436,187,0.369,0.6844,-0.3642,1.099,5.584,0.646,4.25
ITC,failed_breakout,short,436,208,0.3942,0.5695,-0.3645,1.017,8.552,0.115,0.78
ITC,failed_breakout,long,436,213,0.385,0.6376,-0.364,1.096,9.257,0.635,4.59
HINDUNILVR,failed_breakout,short,436,197,0.4112,0.6016,-0.3718,1.13,4.453,0.842,5.61
HINDUNILVR,failed_breakout,long,436,213,0.3897,0.6383,-0.3656,1.115,6.815,0.734,5.46
RELIANCE,failed_breakout,short,436,240,0.3792,0.5258,-0.3733,0.86,10.948,-1.037,-7.77
RELIANCE,failed_breakout,long,436,242,0.343,0.508,-0.3658,0.725,18.859,-2.226,-15.99
AARTIIND,failed_breakout,short,442,208,0.3173,0.8679,-0.3896,1.035,6.088,0.245,1.95
AARTIIND,failed_breakout,long,442,216,0.2639,0.9196,-0.3944,0.836,16.984,-1.276,-10.29
AAVAS,failed_breakout,short,442,180,0.3444,0.7575,-0.3924,1.014,10.909,0.099,0.66
AAVAS,failed_breakout,long,442,179,0.2905,0.8682,-0.395,0.9,15.111,-0.745,-5.01
ABBOTINDIA,failed_breakout,short,442,195,0.3949,0.7592,-0.3924,1.262,7.315,1.636,12.15
ABBOTINDIA,failed_breakout,long,442,210,0.2714,0.8684,-0.3878,0.834,17.851,-1.286,-9.83
ABCAPITAL,failed_breakout,short,442,230,0.3652,0.8332,-0.3947,1.214,7.375,1.378,12.36
ABCAPITAL,failed_breakout,long,442,240,0.2833,0.8619,-0.3931,0.867,13.82,-1.015,-9.0
ACC,failed_breakout,short,442,227,0.3965,0.6724,-0.3873,1.14,4.641,0.916,7.45
ACC,failed_breakout,long,442,195,0.2872,0.6785,-0.3874,0.706,17.756,-2.446,-15.85
ADANIGREEN,failed_breakout,short,442,183,0.3169,0.8544,-0.3976,0.997,10.639,-0.021,-0.14
ADANIGREEN,failed_breakout,long,442,179,0.257,0.9275,-0.4,0.802,13.462,-1.577,-10.53
ADANIPOWER,failed_breakout,short,442,188,0.3989,0.8799,-0.387,1.509,4.666,2.925,22.26
ADANIPOWER,failed_breakout,long,442,164,0.25,0.9655,-0.395,0.815,14.206,-1.46,-9.01
ADVENZYMES,failed_breakout,short,442,218,0.3807,0.9292,-0.3948,1.447,3.326,2.63,23.82
ADVENZYMES,failed_breakout,long,442,202,0.2277,0.9846,-0.3981,0.729,20.207,-2.266,-16.81
AFFLE,failed_breakout,short,442,173,0.3064,0.8675,-0.3916,0.978,7.764,-0.155,-1.02
AFFLE,failed_breakout,long,442,182,0.3626,0.971,-0.3943,1.401,4.04,2.413,18.35
AIAENG,failed_breakout,short,442,192,0.3542,0.8391,-0.3959,1.162,5.766,1.064,7.97
AIAENG,failed_breakout,long,442,176,0.3295,0.9581,-0.3806,1.237,5.2,1.499,10.66
AJANTPHARM,failed_breakout,short,442,209,0.3493,0.8215,-0.3934,1.121,9.018,0.806,6.47
AJANTPHARM,failed_breakout,long,442,189,0.3016,0.9119,-0.3984,0.988,9.561,-0.084,-0.62
ALKEM,failed_breakout,short,442,192,0.3385,0.6888,-0.3923,0.899,8.767,-0.75,-5.05
ALKEM,failed_breakout,long,442,195,0.3385,0.7918,-0.3911,1.036,9.8,0.248,1.81
AMBER,failed_breakout,short,442,206,0.2524,0.904,-0.3928,0.777,18.868,-1.8,-13.49
AMBER,failed_breakout,long,442,201,0.3134,0.9224,-0.3884,1.084,4.564,0.57,4.51
APLAPOLLO,failed_breakout,short,442,191,0.3194,0.8523,-0.392,1.02,9.772,0.142,1.03
APLAPOLLO,failed_breakout,long,442,191,0.288,0.8327,-0.3907,0.862,15.728,-1.046,-7.33
APLLTD,failed_breakout,short,442,194,0.3247,0.8807,-0.3895,1.087,5.154,0.594,4.46
APLLTD,failed_breakout,long,442,193,0.3264,0.9141,-0.3946,1.123,6.908,0.819,6.29
APOLLOTYRE,failed_breakout,short,442,211,0.3649,0.7686,-0.3953,1.117,7.068,0.78,6.21
APOLLOTYRE,failed_breakout,long,442,207,0.2802,0.8108,-0.3895,0.81,15.872,-1.48,-11.0
ASAHIINDIA,failed_breakout,short,442,203,0.3103,0.9384,-0.3976,1.062,16.961,0.429,3.46
ASAHIINDIA,failed_breakout,long,442,205,0.3024,0.9003,-0.3972,0.983,10.986,-0.124,-0.99
ASHOKA,failed_breakout,short,442,176,0.4091,0.8277,-0.3963,1.446,4.307,2.602,18.38
ASHOKA,failed_breakout,long,442,167,0.2994,0.8907,-0.4,0.952,12.948,-0.354,-2.26
ASHOKLEY,failed_breakout,short,442,211,0.3649,0.8194,-0.3927,1.199,6.448,1.29,10.47
ASHOKLEY,failed_breakout,long,442,210,0.3286,0.8333,-0.378,1.079,6.361,0.531,4.2
