symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
BHARTIARTL,multi_bar,long,436,327,0.3486,0.6372,-0.3614,0.944,7.879,-0.397,-4.34
BHARTIARTL,multi_bar,short,436,63,0.4286,0.635,-0.3876,1.229,2.502,1.415,3.19
HDFCBANK,multi_bar,long,436,326,0.365,0.5097,-0.3283,0.893,14.394,-0.757,-7.3
HDFCBANK,multi_bar,short,436,70,0.4286,0.4416,-0.3524,0.94,3.491,-0.426,-0.85
ICICIBANK,multi_bar,long,436,323,0.4365,0.531,-0.3505,1.173,3.599,1.065,11.07
ICICIBANK,multi_bar,short,436,64,0.3594,0.5187,-0.373,0.78,5.833,-1.765,-3.36
INFY,multi_bar,long,436,292,0.4007,0.6313,-0.3583,1.178,6.016,1.109,11.16
INFY,multi_bar,short,436,73,0.3699,0.7663,-0.378,1.19,3.915,1.21,3.3
KOTAKBANK,multi_bar,long,436,312,0.3878,0.5871,-0.3599,1.033,11.173,0.223,2.29
KOTAKBANK,multi_bar,short,436,58,0.5172,0.574,-0.3889,1.581,1.743,3.129,6.33
SBIN,multi_bar,long,436,322,0.3478,0.6407,-0.3515,0.972,12.682,-0.191,-2.05
SBIN,multi_bar,short,436,78,0.4744,0.5462,-0.3764,1.31,2.775,1.807,4.78
TCS,multi_bar,long,436,297,0.3737,0.54,-0.3557,0.906,11.031,-0.674,-6.22
TCS,multi_bar,short,436,58,0.5172,0.5744,-0.3486,1.766,3.439,3.887,7.47
ITC,multi_bar,long,436,313,0.3578,0.5546,-0.3438,0.899,12.92,-0.715,-6.99
ITC,multi_bar,short,436,59,0.4407,0.5499,-0.3197,1.355,3.706,1.971,3.75
HINDUNILVR,multi_bar,long,436,317,0.3722,0.5755,-0.3609,0.946,14.532,-0.381,-3.9
HINDUNILVR,multi_bar,short,436,57,0.386,0.6404,-0.3456,1.165,3.037,1.025,1.99
RELIANCE,multi_bar,long,436,313,0.3834,0.547,-0.3555,0.957,12.149,-0.298,-2.98
RELIANCE,multi_bar,short,436,78,0.3846,0.4782,-0.3459,0.864,3.974,-0.969,-2.26
AARTIIND,multi_bar,long,442,284,0.3028,0.8583,-0.3897,0.957,12.116,-0.313,-3.35
AARTIIND,multi_bar,short,442,62,0.3387,0.7849,-0.4,1.005,4.354,0.035,0.08
AAVAS,multi_bar,long,442,265,0.3245,0.7931,-0.3688,1.033,5.99,0.226,2.19
AAVAS,multi_bar,short,442,64,0.3594,0.8324,-0.3787,1.233,3.386,1.452,3.62
ABBOTINDIA,multi_bar,long,442,278,0.3237,0.7664,-0.3785,0.969,14.196,-0.215,-2.17
ABBOTINDIA,multi_bar,short,442,57,0.4035,0.7606,-0.3846,1.338,2.487,2.018,4.42
ABCAPITAL,multi_bar,long,442,315,0.2889,0.8358,-0.3905,0.869,16.345,-0.985,-11.42
ABCAPITAL,multi_bar,short,442,77,0.3117,0.9413,-0.4,1.066,5.254,0.454,1.39
ACC,multi_bar,long,442,296,0.3007,0.6587,-0.3735,0.758,20.151,-1.914,-18.68
ACC,multi_bar,short,442,58,0.2931,0.5322,-0.3691,0.598,6.997,-3.695,-6.09
ADANIGREEN,multi_bar,long,442,259,0.2819,0.9695,-0.3961,0.961,15.654,-0.286,-2.89
ADANIGREEN,multi_bar,short,442,99,0.3636,0.943,-0.3635,1.483,3.243,2.74,11.05
ADANIPOWER,multi_bar,long,442,238,0.2899,0.9075,-0.3988,0.929,9.46,-0.524,-4.79
ADANIPOWER,multi_bar,short,442,91,0.3516,0.865,-0.4,1.173,4.121,1.134,4.08
ADVENZYMES,multi_bar,long,442,248,0.2621,0.9737,-0.3931,0.88,15.251,-0.912,-8.65
ADVENZYMES,multi_bar,short,442,65,0.2308,0.946,-0.4,0.71,5.6,-2.447,-5.81
AFFLE,multi_bar,long,442,273,0.3114,0.888,-0.3898,1.03,8.451,0.208,2.19
AFFLE,multi_bar,short,442,85,0.3882,0.8283,-0.4,1.314,3.194,1.925,6.53
AIAENG,multi_bar,long,442,278,0.3381,0.8505,-0.386,1.126,9.179,0.827,8.92
AIAENG,multi_bar,short,442,67,0.4627,0.8081,-0.3954,1.76,3.95,3.964,10.82
AJANTPHARM,multi_bar,long,442,279,0.2939,0.8628,-0.3874,0.927,14.11,-0.534,-5.57
AJANTPHARM,multi_bar,short,442,69,0.3913,0.8485,-0.3911,1.395,4.827,2.352,6.48
