symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
BHARTIARTL,vwap_v,long,436,259,0.4015,0.6608,-0.3524,1.258,6.794,1.555,14.11
BHARTIARTL,vwap_v,short,436,250,0.384,0.5538,-0.3526,0.979,9.26,-0.145,-1.14
HDFCBANK,vwap_v,long,436,243,0.4033,0.4914,-0.322,1.031,7.926,0.203,1.47
HDFCBANK,vwap_v,short,436,242,0.4421,0.3792,-0.3305,0.909,11.538,-0.623,-4.04
ICICIBANK,vwap_v,long,436,268,0.3993,0.5015,-0.3403,0.979,5.712,-0.141,-1.14
ICICIBANK,vwap_v,short,436,260,0.3923,0.4584,-0.3652,0.81,16.271,-1.441,-10.94
INFY,vwap_v,long,436,236,0.3771,0.5758,-0.341,1.022,6.932,0.149,1.11
INFY,vwap_v,short,436,243,0.4486,0.5747,-0.3648,1.281,5.733,1.689,13.75
KOTAKBANK,vwap_v,long,436,249,0.4016,0.5723,-0.3799,1.011,5.627,0.076,0.63
KOTAKBANK,vwap_v,short,436,249,0.3976,0.542,-0.3669,0.975,7.238,-0.174,-1.37
SBIN,vwap_v,long,436,278,0.3741,0.5656,-0.3517,0.961,7.366,-0.269,-2.38
SBIN,vwap_v,short,436,250,0.392,0.5414,-0.3526,0.99,6.212,-0.067,-0.53
TCS,vwap_v,long,436,243,0.3539,0.4531,-0.3518,0.706,18.722,-2.361,-16.25
TCS,vwap_v,short,436,236,0.411,0.5082,-0.3411,1.04,4.821,0.257,1.88
ITC,vwap_v,long,436,278,0.3993,0.4952,-0.3392,0.971,6.916,-0.195,-1.67
ITC,vwap_v,short,436,256,0.4531,0.4567,-0.35,1.081,6.719,0.515,3.97
HINDUNILVR,vwap_v,long,436,272,0.3713,0.5128,-0.3562,0.85,16.05,-1.097,-9.12
HINDUNILVR,vwap_v,short,436,250,0.368,0.5012,-0.3523,0.828,12.055,-1.27,-9.55
RELIANCE,vwap_v,long,436,252,0.381,0.5277,-0.354,0.917,7.945,-0.582,-4.57
RELIANCE,vwap_v,short,436,258,0.4264,0.5014,-0.3528,1.056,4.313,0.368,2.93
AARTIIND,vwap_v,long,442,266,0.2744,0.7397,-0.391,0.716,29.66,-2.357,-21.46
AARTIIND,vwap_v,short,442,244,0.332,0.8128,-0.3865,1.045,8.635,0.31,2.84
AAVAS,vwap_v,long,442,242,0.2686,0.7654,-0.3773,0.745,18.342,-2.059,-17.02
AAVAS,vwap_v,short,442,227,0.3392,0.7581,-0.3776,1.031,12.084,0.21,1.73
ABBOTINDIA,vwap_v,long,442,274,0.3029,0.7672,-0.3812,0.874,18.425,-0.936,-9.14
ABBOTINDIA,vwap_v,short,442,259,0.3938,0.6889,-0.3696,1.211,5.12,1.315,12.25
ABCAPITAL,vwap_v,long,442,290,0.2931,0.8442,-0.3923,0.892,17.297,-0.808,-8.66
ABCAPITAL,vwap_v,short,442,258,0.3488,0.8462,-0.3944,1.149,6.582,0.987,9.9
ACC,vwap_v,long,442,289,0.3114,0.7002,-0.3584,0.883,14.145,-0.849,-8.31
ACC,vwap_v,short,442,266,0.3835,0.6506,-0.3641,1.111,8.769,0.724,6.64
ADANIGREEN,vwap_v,long,442,234,0.2521,0.898,-0.3948,0.767,19.393,-1.893,-16.11
ADANIGREEN,vwap_v,short,442,220,0.3727,0.762,-0.3834,1.181,6.979,1.167,9.57
ADANIPOWER,vwap_v,long,442,239,0.251,0.9059,-0.391,0.776,25.157,-1.795,-15.65
ADANIPOWER,vwap_v,short,442,220,0.3545,0.7868,-0.3879,1.114,7.518,0.76,6.29
ADVENZYMES,vwap_v,long,442,269,0.3086,0.9628,-0.3914,1.098,8.4,0.661,7.12
ADVENZYMES,vwap_v,short,442,261,0.341,0.8672,-0.3963,1.132,10.85,0.881,9.02
AFFLE,vwap_v,long,442,259,0.3359,0.8933,-0.3878,1.165,7.483,1.078,11.02
AFFLE,vwap_v,short,442,228,0.3947,0.8697,-0.3801,1.492,7.227,2.827,25.82
AIAENG,vwap_v,long,442,261,0.2605,0.8259,-0.3788,0.768,24.852,-1.853,-16.95
AIAENG,vwap_v,short,442,259,0.3552,0.7994,-0.3957,1.113,7.422,0.755,7.47
AJANTPHARM,vwap_v,long,442,242,0.376,0.816,-0.3793,1.296,5.688,1.802,16.97
AJANTPHARM,vwap_v,short,442,241,0.3651,0.7521,-0.3837,1.127,5.724,0.841,7.47
ALKEM,vwap_v,long,442,293,0.3823,0.707,-0.383,1.142,11.299,0.932,9.86
ALKEM,vwap_v,short,442,271,0.3579,0.6773,-0.3846,0.982,8.404,-0.128,-1.22
AMBER,vwap_v,long,442,226,0.3496,0.8668,-0.3934,1.184,8.21,1.194,10.65
AMBER,vwap_v,short,442,232,0.3362,0.8899,-0.3941,1.144,10.041,0.956,8.72
APLAPOLLO,vwap_v,long,442,259,0.3745,0.7293,-0.3879,1.126,5.744,0.83,7.89
APLAPOLLO,vwap_v,short,442,248,0.3306,0.8035,-0.3854,1.03,12.314,0.206,1.9
APLLTD,vwap_v,long,442,260,0.3154,0.9011,-0.3853,1.077,6.848,0.525,5.31
APLLTD,vwap_v,short,442,264,0.3485,0.8714,-0.3948,1.181,8.851,1.179,12.27
APOLLOTYRE,vwap_v,long,442,241,0.3361,0.7109,-0.3864,0.931,16.961,-0.494,-4.24
APOLLOTYRE,vwap_v,short,442,238,0.3277,0.7387,-0.3788,0.951,10.11,-0.351,-2.99
ASAHIINDIA,vwap_v,long,442,258,0.2558,0.8753,-0.398,0.756,21.243,-1.994,-18.64
ASAHIINDIA,vwap_v,short,442,283,0.371,0.905,-0.3898,1.369,5.889,2.227,25.64
ASHOKA,vwap_v,long,442,199,0.2161,0.881,-0.3929,0.618,23.635,-3.449,-23.41
ASHOKA,vwap_v,short,442,212,0.3774,0.8636,-0.3894,1.344,7.308,2.096,17.7
ASHOKLEY,vwap_v,long,442,258,0.2791,0.8535,-0.3802,0.869,18.072,-0.984,-9.27
ASHOKLEY,vwap_v,short,442,249,0.4177,0.718,-0.379,1.359,3.2,2.123,19.72
ASTERDM,vwap_v,long,442,250,0.328,0.7945,-0.3863,1.004,13.411,0.028,0.26
ASTERDM,vwap_v,short,442,228,0.2632,0.7574,-0.39,0.694,26.23,-2.588,-20.08
ASTRAL,vwap_v,long,442,284,0.3028,0.6882,-0.3913,0.764,23.823,-1.905,-18.3
ASTRAL,vwap_v,short,442,257,0.3619,0.6656,-0.3784,0.997,11.169,-0.018,-0.16
ATUL,vwap_v,long,442,270,0.3222,0.7608,-0.378,0.957,10.031,-0.306,-2.98
ATUL,vwap_v,short,442,254,0.3465,0.784,-0.3824,1.087,7.495,0.581,5.51
AUBANK,vwap_v,long,442,260,0.3731,0.6963,-0.377,1.099,10.271,0.653,6.09
AUBANK,vwap_v,short,442,253,0.3557,0.7441,-0.3811,1.078,11.59,0.521,4.85
AUROPHARMA,vwap_v,long,442,272,0.3272,0.8141,-0.3862,1.025,10.554,0.174,1.78
AUROPHARMA,vwap_v,short,442,252,0.3095,0.7046,-0.3978,0.794,14.856,-1.624,-14.26
BAJAJCON,vwap_v,long,442,229,0.2707,0.8647,-0.3924,0.818,16.446,-1.424,-11.91
BAJAJCON,vwap_v,short,442,247,0.3198,0.8165,-0.3842,0.999,11.349,-0.005,-0.05
BAJAJELEC,vwap_v,long,442,267,0.2996,0.7786,-0.3947,0.844,14.115,-1.201,-11.53
BAJAJELEC,vwap_v,short,442,236,0.3432,0.7361,-0.3894,0.988,7.847,-0.085,-0.73
BAJAJHLDNG,vwap_v,long,442,249,0.3213,0.7311,-0.3834,0.903,16.68,-0.711,-6.3
BAJAJHLDNG,vwap_v,short,442,243,0.3457,0.7901,-0.3794,1.1,6.318,0.664,6.05
BALKRISIND,vwap_v,long,442,277,0.3718,0.7586,-0.3853,1.166,6.937,1.071,11.1
BALKRISIND,vwap_v,short,442,258,0.345,0.8109,-0.3752,1.138,7.171,0.897,8.76
BALMLAWRIE,vwap_v,long,442,258,0.2636,0.7583,-0.3759,0.722,25.043,-2.27,-19.85
BALMLAWRIE,vwap_v,short,442,239,0.3556,0.7741,-0.3722,1.148,6.482,0.951,8.49
BALRAMCHIN,vwap_v,long,442,256,0.3711,0.8504,-0.3892,1.289,6.213,1.778,18.13
BALRAMCHIN,vwap_v,short,442,255,0.3922,0.7914,-0.3916,1.304,5.8,1.87,18.45
BANDHANBNK,vwap_v,long,442,245,0.3143,0.8034,-0.3888,0.947,11.68,-0.382,-3.47
BANDHANBNK,vwap_v,short,442,237,0.3333,0.8219,-0.3934,1.045,6.311,0.309,2.78
BANKINDIA,vwap_v,long,442,266,0.3008,0.8187,-0.3843,0.916,11.175,-0.612,-5.98
BANKINDIA,vwap_v,short,442,252,0.4405,0.7237,-0.3832,1.487,3.381,2.753,26.3
BASF,vwap_v,long,442,257,0.2763,0.8519,-0.391,0.832,18.247,-1.304,-12.25
BASF,vwap_v,short,442,238,0.3235,0.8284,-0.3874,1.023,6.971,0.159,1.42
BATAINDIA,vwap_v,long,442,248,0.3589,0.6488,-0.3637,0.998,6.081,-0.011,-0.1
