cohort_size,min_bars,rsi_max,nifty_filter,tp_pct,sl_pct,rr,hold_bars,n_trades,win_rate,profit_factor,max_dd_pct,sharpe,avg_win,avg_loss,total_return_pct,trades_per_stock_year,passes_75wr_rr11
30,3,55,none,0.7,0.4,1.75,60,1703,0.485,1.502,5.762,5.099,0.6136,-0.3847,169.43,32.3,0
30,3,55,none,1.0,0.5,2.0,60,1703,0.4815,1.526,5.353,5.135,0.7592,-0.4619,214.7,32.3,0
30,3,55,none,1.0,0.7,1.43,60,1703,0.5361,1.454,6.415,4.496,0.7544,-0.5997,215.0,32.3,0
30,3,55,none,1.5,0.7,2.14,60,1703,0.5015,1.463,11.634,4.117,0.865,-0.5946,233.93,32.3,0
30,3,55,none,1.5,1.0,1.5,60,1703,0.5467,1.411,17.926,3.629,0.8551,-0.7307,232.02,32.3,0
30,3,55,none,2.0,1.0,2.0,60,1703,0.5396,1.425,17.484,3.502,0.8908,-0.733,243.97,32.3,0
30,3,55,none,1.0,0.9,1.11,60,1703,0.5708,1.412,12.337,4.007,0.7452,-0.7018,211.28,32.3,0
30,3,55,none,0.5,0.5,1.0,60,1703,0.5796,1.384,6.834,4.414,0.4693,-0.4673,128.6,32.3,0
30,3,55,none,1.0,1.0,1.0,60,1703,0.5813,1.398,13.856,3.84,0.7461,-0.741,210.26,32.3,0
30,3,55,b3_change_neg,0.7,0.4,1.75,60,549,0.4936,1.497,4.402,5.376,0.5903,-0.3844,53.12,10.4,0
30,3,55,b3_change_neg,1.0,0.5,2.0,60,549,0.4845,1.507,4.94,5.06,0.7349,-0.4582,65.8,10.4,0
30,3,55,b3_change_neg,1.0,0.7,1.43,60,549,0.5319,1.361,8.14,3.86,0.7214,-0.6023,55.84,10.4,0
30,3,55,b3_change_neg,1.5,0.7,2.14,60,549,0.5009,1.381,8.148,3.671,0.8178,-0.5943,62.07,10.4,0
30,3,55,b3_change_neg,1.5,1.0,1.5,60,549,0.5319,1.284,10.023,2.791,0.8185,-0.7243,52.85,10.4,0
30,3,55,b3_change_neg,2.0,1.0,2.0,60,549,0.5209,1.267,10.023,2.408,0.8475,-0.7276,51.02,10.4,0
30,3,55,b3_change_neg,1.0,0.9,1.11,60,549,0.561,1.321,10.961,3.341,0.7209,-0.6973,53.97,10.4,0
30,3,55,b3_change_neg,0.5,0.5,1.0,60,549,0.5883,1.426,4.829,4.766,0.4631,-0.4642,44.68,10.4,0
30,3,55,b3_change_neg,1.0,1.0,1.0,60,549,0.5665,1.286,10.326,3.004,0.7225,-0.7344,49.91,10.4,0
30,3,55,b3_change_neg_strong,0.7,0.4,1.75,60,162,0.5247,1.757,4.086,7.503,0.613,-0.385,22.45,3.1,0
30,3,55,b3_change_neg_strong,1.0,0.5,2.0,60,162,0.4815,1.532,5.505,5.39,0.7733,-0.4686,20.95,3.1,0
30,3,55,b3_change_neg_strong,1.0,0.7,1.43,60,162,0.5309,1.346,5.598,3.685,0.7534,-0.6334,16.65,3.1,0
30,3,55,b3_change_neg_strong,1.5,0.7,2.14,60,162,0.5,1.428,5.598,4.301,0.8824,-0.618,21.42,3.1,0
30,3,55,b3_change_neg_strong,1.5,1.0,1.5,60,162,0.5185,1.21,8.841,2.285,0.8758,-0.7798,12.75,3.1,0
30,3,55,b3_change_neg_strong,2.0,1.0,2.0,60,162,0.5062,1.133,9.279,1.399,0.8682,-0.7853,8.37,3.1,0
30,3,55,b3_change_neg_strong,1.0,0.9,1.11,60,162,0.5432,1.18,8.12,1.911,0.7499,-0.7557,10.07,3.1,0
30,3,55,b3_change_neg_strong,0.5,0.5,1.0,60,162,0.5864,1.415,3.914,4.769,0.4721,-0.4732,13.14,3.1,0
30,3,55,b3_change_neg_strong,1.0,1.0,1.0,60,162,0.5494,1.149,8.64,1.639,0.7527,-0.7987,8.69,3.1,0
30,3,55,both,0.7,0.4,1.75,60,423,0.4965,1.539,2.7,5.579,0.5986,-0.3834,44.04,8.0,0
30,3,55,both,1.0,0.5,2.0,60,423,0.4941,1.568,3.797,5.709,0.7564,-0.4712,57.26,8.0,0
30,3,55,both,1.0,0.7,1.43,60,423,0.5437,1.453,5.234,4.75,0.7462,-0.6119,53.53,8.0,0
30,3,55,both,1.5,0.7,2.14,60,423,0.513,1.475,6.647,4.398,0.8386,-0.5989,58.6,8.0,0
30,3,55,both,1.5,1.0,1.5,60,423,0.5556,1.472,6.534,4.115,0.8409,-0.714,63.39,8.0,0
30,3,55,both,2.0,1.0,2.0,60,423,0.5414,1.416,6.978,3.396,0.8623,-0.7187,58.04,8.0,0
30,3,55,both,1.0,0.9,1.11,60,423,0.5816,1.511,6.591,4.841,0.7481,-0.6883,62.2,8.0,0
30,3,55,both,0.5,0.5,1.0,60,423,0.5839,1.379,4.5,4.404,0.4608,-0.4691,31.26,8.0,0
30,3,55,both,1.0,1.0,1.0,60,423,0.5887,1.46,7.791,4.425,0.7453,-0.7305,58.47,8.0,0
