cohort_size,n_bars,rsi_max,nifty_filter,tp_pct,sl_pct,rr,hold_bars,n_trades,win_rate,profit_factor,max_dd_pct,sharpe,avg_win,avg_loss,total_return_pct,trades_per_stock_year,passes
25,3,55,none,0.7,0.4,1.75,60,1520,0.4336,1.277,10.76,3.136,0.6574,-0.3942,93.85,34.4,0
25,3,55,none,1.0,0.5,2.0,60,1520,0.4342,1.344,11.641,3.495,0.8419,-0.4806,142.35,34.4,0
25,3,55,none,1.0,0.6,1.67,60,1520,0.4711,1.303,12.932,3.228,0.8231,-0.5625,137.11,34.4,0
25,3,55,none,1.0,0.7,1.43,60,1520,0.5026,1.295,9.73,3.039,0.8191,-0.6391,142.59,34.4,0
25,3,55,none,1.0,0.9,1.11,60,1520,0.5441,1.265,11.859,2.775,0.8147,-0.7684,141.23,34.4,0
25,3,55,none,1.5,0.7,2.14,60,1520,0.4704,1.393,9.403,3.656,0.9921,-0.6326,200.11,34.4,0
25,3,55,none,1.5,1.0,1.5,60,1520,0.5296,1.377,14.169,3.434,0.9785,-0.8001,215.66,34.4,0
25,3,55,none,1.5,1.3,1.15,60,1520,0.5553,1.319,17.109,2.944,0.9702,-0.9182,198.13,34.4,0
25,3,55,none,2.0,1.0,2.0,60,1520,0.5099,1.353,17.606,2.975,1.0411,-0.8003,210.64,34.4,0
25,3,55,none,0.5,0.3,1.67,60,1520,0.4309,1.248,6.486,2.941,0.4922,-0.2987,64.06,34.4,0
25,3,55,none,0.7,0.6,1.17,60,1520,0.5276,1.269,16.785,3.115,0.6455,-0.5681,109.77,34.4,0
25,3,55,b3_change_neg,0.7,0.4,1.75,60,491,0.4501,1.359,5.583,4.274,0.6594,-0.397,38.53,11.1,0
25,3,55,b3_change_neg,1.0,0.5,2.0,60,491,0.446,1.401,5.617,3.957,0.8397,-0.4824,52.68,11.1,0
25,3,55,b3_change_neg,1.0,0.6,1.67,60,491,0.4908,1.382,6.377,3.959,0.8133,-0.5672,54.2,11.1,0
25,3,55,b3_change_neg,1.0,0.7,1.43,60,491,0.5153,1.325,6.37,3.495,0.8051,-0.6458,50.01,11.1,0
25,3,55,b3_change_neg,1.0,0.9,1.11,60,491,0.5703,1.4,5.11,4.15,0.8003,-0.7583,64.07,11.1,0
25,3,55,b3_change_neg,1.5,0.7,2.14,60,491,0.4745,1.33,5.523,3.394,0.946,-0.6426,54.63,11.1,0
25,3,55,b3_change_neg,1.5,1.0,1.5,60,491,0.5418,1.394,6.614,3.788,0.9386,-0.7961,70.56,11.1,0
25,3,55,b3_change_neg,1.5,1.3,1.15,60,491,0.5682,1.337,7.494,3.18,0.9229,-0.9081,64.96,11.1,0
25,3,55,b3_change_neg,2.0,1.0,2.0,60,491,0.5234,1.342,7.614,3.052,0.9774,-0.7997,64.07,11.1,0
25,3,55,b3_change_neg,0.5,0.3,1.67,60,491,0.4338,1.276,4.406,3.369,0.4983,-0.2993,22.93,11.1,0
25,3,55,b3_change_neg,0.7,0.6,1.17,60,491,0.5519,1.384,4.574,4.313,0.6461,-0.5749,48.61,11.1,0
24,3,55,b3_change_neg_strong,0.7,0.4,1.75,60,139,0.4101,1.139,8.299,1.883,0.6496,-0.3964,4.52,3.3,0
24,3,55,b3_change_neg_strong,1.0,0.5,2.0,60,139,0.4173,1.229,8.089,2.902,0.85,-0.4951,9.2,3.3,0
24,3,55,b3_change_neg_strong,1.0,0.6,1.67,60,139,0.4604,1.171,8.36,2.223,0.8143,-0.5934,7.61,3.3,0
24,3,55,b3_change_neg_strong,1.0,0.7,1.43,60,139,0.5108,1.216,7.73,2.694,0.7984,-0.6853,10.09,3.3,0
24,3,55,b3_change_neg_strong,1.0,0.9,1.11,60,139,0.5396,1.107,9.45,1.43,0.7782,-0.824,5.63,3.3,0
24,3,55,b3_change_neg_strong,1.5,0.7,2.14,60,139,0.4676,1.202,9.64,2.234,0.9286,-0.6785,10.15,3.3,0
24,3,55,b3_change_neg_strong,1.5,1.0,1.5,60,139,0.518,1.082,9.586,0.949,0.8785,-0.8725,4.8,3.3,0
24,3,55,b3_change_neg_strong,1.5,1.3,1.15,60,139,0.5396,0.979,13.058,-0.246,0.8497,-1.0171,-1.36,3.3,0
24,3,55,b3_change_neg_strong,2.0,1.0,2.0,60,139,0.5108,1.074,9.251,0.804,0.8997,-0.8744,4.42,3.3,0
24,3,55,b3_change_neg_strong,0.5,0.3,1.67,60,139,0.4029,1.133,4.8,1.667,0.5,-0.2977,3.29,3.3,0
24,3,55,b3_change_neg_strong,0.7,0.6,1.17,60,139,0.4892,1.034,11.976,0.469,0.6403,-0.593,1.44,3.3,0
25,3,55,both,0.7,0.4,1.75,60,345,0.4319,1.252,6.935,3.062,0.6526,-0.3964,19.54,7.8,0
25,3,55,both,1.0,0.5,2.0,60,345,0.4464,1.416,6.885,4.183,0.8461,-0.4817,38.29,7.8,0
25,3,55,both,1.0,0.6,1.67,60,345,0.4899,1.375,6.968,4.033,0.819,-0.572,37.73,7.8,0
25,3,55,both,1.0,0.7,1.43,60,345,0.5362,1.421,8.067,4.319,0.8086,-0.6579,44.32,7.8,0
