Combined Pair-Trading Portfolio (Walk-Forward TEST window)
============================================================
Test window      : 2024-01-01 to 2025-11-30
Survivor pairs   : 6
Max concurrent   : 5
Per pair-trade   : Rs.6,000
Capital base     : Rs.1,000,000
Cost (default)   : 0.12% per pair-trade

Total trades     : 108
Win rate         : 78.70%
Profit factor    : 3.57
Total P&L        : Rs.7,144
Total return     : 0.71%
Max drawdown     : Rs.620 (0.06%)

Trade tape (accepted only):
                pair entry_date  exit_date  days_held   ret_pct exit_reason  accepted   net_ret   rupee_pnl
      HAVELLS-MARICO 2024-01-08 2024-01-23         11  2.002615          MR      True  1.882615  112.956929
     COFORGE-HCLTECH 2024-01-15 2024-02-06         15 -1.534913        TIME      True -1.654913  -99.294803
           DABUR-TCS 2024-01-23 2024-02-01          6  2.873255          MR      True  2.753255  165.195291
BAJFINANCE-KOTAKBANK 2024-01-30 2024-02-08          7  0.778390          MR      True  0.658390   39.503404
    DABUR-HINDUNILVR 2024-02-01 2024-02-23         16  0.115613          MR      True -0.004387   -0.263198
           DABUR-TCS 2024-02-06 2024-02-19          9  1.792494          MR      True  1.672494  100.349629
  APOLLOHOSP-COFORGE 2024-02-14 2024-02-28         10  2.842153        TIME      True  2.722153  163.329173
     COFORGE-HCLTECH 2024-02-14 2024-03-05         15  0.362603        TIME      True  0.242603   14.556154
      HAVELLS-MARICO 2024-02-27 2024-03-27         20 -3.373726        TIME      True -3.493726 -209.623589
BAJFINANCE-KOTAKBANK 2024-03-06 2024-03-26         12  4.926258          MR      True  4.806258  288.375455
           DABUR-TCS 2024-03-12 2024-03-21          7  2.138225          MR      True  2.018225  121.093493
     COFORGE-HCLTECH 2024-03-14 2024-04-02         11  0.120849          MR      True  0.000849    0.050964
  APOLLOHOSP-COFORGE 2024-03-18 2024-04-03         10 -2.250427        TIME      True -2.370427 -142.225595
      HAVELLS-MARICO 2024-04-02 2024-04-05          3  0.859442          MR      True  0.739442   44.366495
BAJFINANCE-KOTAKBANK 2024-04-02 2024-04-10          6  1.811628          MR      True  1.691628  101.497685
BAJFINANCE-KOTAKBANK 2024-04-25 2024-05-16         14  4.636528          MR      True  4.516528  270.991687
     COFORGE-HCLTECH 2024-04-29 2024-05-03          3  5.356229          MR      True  5.236229  314.173732
    DABUR-HINDUNILVR 2024-05-02 2024-05-29         19  0.433899          MR      True  0.313899   18.833942
  APOLLOHOSP-COFORGE 2024-05-03 2024-05-17         10  3.036030        TIME      True  2.916030  174.961790
           DABUR-TCS 2024-05-03 2024-05-17         10 -0.501805        TIME      True -0.621805  -37.308281
      HAVELLS-MARICO 2024-05-07 2024-05-21         10  5.225315          MR      True  5.105315  306.318905
           DABUR-TCS 2024-06-04 2024-06-19         10 -0.592881        TIME      True -0.712881  -42.772843
      HAVELLS-MARICO 2024-06-05 2024-06-13          6  3.927525          MR      True  3.807525  228.451488
    DABUR-HINDUNILVR 2024-06-07 2024-07-05         19 -0.055083          MR      True -0.175083  -10.504965
BAJFINANCE-KOTAKBANK 2024-06-14 2024-06-19          2  1.574215          MR      True  1.454215   87.252918
BAJFINANCE-KOTAKBANK 2024-06-27 2024-07-22         16  0.006489          MR      True -0.113511   -6.810687
  APOLLOHOSP-COFORGE 2024-07-04 2024-07-19         10  0.518391        TIME      True  0.398391   23.903465
           DABUR-TCS 2024-07-10 2024-07-19          6  4.934884          MR      True  4.814884  288.893042
     COFORGE-HCLTECH 2024-07-11 2024-07-24          8  4.569325          MR      True  4.449325  266.959473
      HAVELLS-MARICO 2024-07-16 2024-08-06         14  0.619255          MR      True  0.499255   29.955319
    DABUR-HINDUNILVR 2024-07-19 2024-08-01          9  1.047353          MR      True  0.927353   55.641164
  APOLLOHOSP-COFORGE 2024-07-23 2024-08-05          9  4.503101          MR      True  4.383101  262.986082
    DABUR-HINDUNILVR 2024-08-06 2024-08-22         11  0.573771          MR      True  0.453771   27.226234
           DABUR-TCS 2024-08-13 2024-08-22          6 -0.308281          MR      True -0.428281  -25.696859
     COFORGE-HCLTECH 2024-08-14 2024-09-05         15  0.737279        TIME      True  0.617279   37.036758
BAJFINANCE-KOTAKBANK 2024-08-22 2024-08-27          3  1.388423          MR      True  1.268423   76.105408
BAJFINANCE-KOTAKBANK 2024-08-29 2024-09-16         12 -0.497806          MR      True -0.617806  -37.068355
      HAVELLS-MARICO 2024-08-30 2024-09-06          5  2.109209          MR      True  1.989209  119.352527
           DABUR-TCS 2024-09-09 2024-09-23         10 -1.936340        TIME      True -2.056340 -123.380398
  APOLLOHOSP-COFORGE 2024-09-11 2024-09-25         10  1.196373        TIME      True  1.076373   64.582368
     COFORGE-HCLTECH 2024-09-19 2024-09-27          6  1.925643          MR      True  1.805643  108.338586
    DABUR-HINDUNILVR 2024-09-23 2024-10-21         19 -1.492219          MR      True -1.612219  -96.733115
BAJFINANCE-KOTAKBANK 2024-09-23 2024-09-30          5  2.778131          MR      True  2.658131  159.487866
           DABUR-TCS 2024-10-03 2024-10-17         10  0.802560        TIME      True  0.682560   40.953611
  APOLLOHOSP-COFORGE 2024-10-04 2024-10-18         10  0.948477        TIME      True  0.828477   49.708648
      HAVELLS-MARICO 2024-10-09 2024-10-16          5  1.610374          MR      True  1.490374   89.422422
BAJFINANCE-KOTAKBANK 2024-10-14 2024-10-21          5  0.199944          MR      True  0.079944    4.796631
     COFORGE-HCLTECH 2024-10-16 2024-10-23          5  2.968936          MR      True  2.848936  170.936162
  APOLLOHOSP-COFORGE 2024-10-23 2024-11-06         10 -1.358714        TIME      True -1.478714  -88.722847
      HAVELLS-MARICO 2024-10-30 2024-11-07          6  1.604118          MR      True  1.484118   89.047065
     COFORGE-HCLTECH 2024-10-31 2024-11-25         15 -2.918036        TIME      True -3.038036 -182.282162
           DABUR-TCS 2024-11-11 2024-11-27         10 -1.139618        TIME      True -1.259618  -75.577060
      HAVELLS-MARICO 2024-11-12 2024-11-27          9  0.654128          MR      True  0.534128   32.047671
    DABUR-HINDUNILVR 2024-11-12 2024-11-27          9  1.149089          MR      True  1.029089   61.745323
