signal_id,symbol,timeframe,variant,direction,date,signal_time,entry_price,prev_day_high,prev_day_low,prev_week_high,prev_week_low,cpr_width_pct,theta_cpr,vol_mult,vol_ratio,trend_mode,clean,clearroom,carry,trig_open,trig_high,trig_low,trig_close,trig_volume,vol_baseline,atr_daily,T_NO__exit_time,T_NO__exit_price,T_NO__exit_reason,T_NO__net_pts,T_NO__net_pct,T_NO__mfe_pts,T_NO__mae_pts,T_NO__hold_min,T_HARD_SL__exit_time,T_HARD_SL__exit_price,T_HARD_SL__exit_reason,T_HARD_SL__net_pts,T_HARD_SL__net_pct,T_HARD_SL__mfe_pts,T_HARD_SL__mae_pts,T_HARD_SL__hold_min,T_ATR_SL_0.3__exit_time,T_ATR_SL_0.3__exit_price,T_ATR_SL_0.3__exit_reason,T_ATR_SL_0.3__net_pts,T_ATR_SL_0.3__net_pct,T_ATR_SL_0.3__mfe_pts,T_ATR_SL_0.3__mae_pts,T_ATR_SL_0.3__hold_min,T_ATR_SL_0.5__exit_time,T_ATR_SL_0.5__exit_price,T_ATR_SL_0.5__exit_reason,T_ATR_SL_0.5__net_pts,T_ATR_SL_0.5__net_pct,T_ATR_SL_0.5__mfe_pts,T_ATR_SL_0.5__mae_pts,T_ATR_SL_0.5__hold_min,T_ATR_SL_1.0__exit_time,T_ATR_SL_1.0__exit_price,T_ATR_SL_1.0__exit_reason,T_ATR_SL_1.0__net_pts,T_ATR_SL_1.0__net_pct,T_ATR_SL_1.0__mfe_pts,T_ATR_SL_1.0__mae_pts,T_ATR_SL_1.0__hold_min,T_CHANDELIER_1.0__exit_time,T_CHANDELIER_1.0__exit_price,T_CHANDELIER_1.0__exit_reason,T_CHANDELIER_1.0__net_pts,T_CHANDELIER_1.0__net_pct,T_CHANDELIER_1.0__mfe_pts,T_CHANDELIER_1.0__mae_pts,T_CHANDELIER_1.0__hold_min,T_CHANDELIER_1.5__exit_time,T_CHANDELIER_1.5__exit_price,T_CHANDELIER_1.5__exit_reason,T_CHANDELIER_1.5__net_pts,T_CHANDELIER_1.5__net_pct,T_CHANDELIER_1.5__mfe_pts,T_CHANDELIER_1.5__mae_pts,T_CHANDELIER_1.5__hold_min,T_CHANDELIER_2.0__exit_time,T_CHANDELIER_2.0__exit_price,T_CHANDELIER_2.0__exit_reason,T_CHANDELIER_2.0__net_pts,T_CHANDELIER_2.0__net_pct,T_CHANDELIER_2.0__mfe_pts,T_CHANDELIER_2.0__mae_pts,T_CHANDELIER_2.0__hold_min,T_R_TARGET_1.0R__exit_time,T_R_TARGET_1.0R__exit_price,T_R_TARGET_1.0R__exit_reason,T_R_TARGET_1.0R__net_pts,T_R_TARGET_1.0R__net_pct,T_R_TARGET_1.0R__mfe_pts,T_R_TARGET_1.0R__mae_pts,T_R_TARGET_1.0R__hold_min,T_R_TARGET_1.5R__exit_time,T_R_TARGET_1.5R__exit_price,T_R_TARGET_1.5R__exit_reason,T_R_TARGET_1.5R__net_pts,T_R_TARGET_1.5R__net_pct,T_R_TARGET_1.5R__mfe_pts,T_R_TARGET_1.5R__mae_pts,T_R_TARGET_1.5R__hold_min,T_R_TARGET_2.0R__exit_time,T_R_TARGET_2.0R__exit_price,T_R_TARGET_2.0R__exit_reason,T_R_TARGET_2.0R__net_pts,T_R_TARGET_2.0R__net_pct,T_R_TARGET_2.0R__mfe_pts,T_R_TARGET_2.0R__mae_pts,T_R_TARGET_2.0R__hold_min,T_R_TARGET_3.0R__exit_time,T_R_TARGET_3.0R__exit_price,T_R_TARGET_3.0R__exit_reason,T_R_TARGET_3.0R__net_pts,T_R_TARGET_3.0R__net_pct,T_R_TARGET_3.0R__mfe_pts,T_R_TARGET_3.0R__mae_pts,T_R_TARGET_3.0R__hold_min,T_STEP_TRAIL__exit_time,T_STEP_TRAIL__exit_price,T_STEP_TRAIL__exit_reason,T_STEP_TRAIL__net_pts,T_STEP_TRAIL__net_pct,T_STEP_TRAIL__mfe_pts,T_STEP_TRAIL__mae_pts,T_STEP_TRAIL__hold_min
0,RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,2018-01-23,2018-01-23 09:15:00,464.9,464.35,448.0,456.8,432.3,0.105,1.0,2.0,3.192,sma50,loose,off,sameday,461.0,467.7,460.4,464.9,6616430,2073102.1,8.5918,2018-01-23 15:25:00,463.65,eod,-1.25,-0.002689,2.8,3.6,370,2018-01-23 15:25:00,463.65,eod_no_hit,-1.25,-0.002689,2.8,3.6,370,2018-01-23 10:00:00,462.3225,atr_sl,-2.5775,-0.005544,2.8,2.9,45,2018-01-23 15:25:00,463.65,eod_no_hit,-1.25,-0.002689,2.8,3.6,370,2018-01-23 15:25:00,463.65,eod_no_hit,-1.25,-0.002689,2.8,3.6,370,2018-01-23 15:25:00,463.65,eod_no_hit,-1.25,-0.002689,2.8,3.6,370,2018-01-23 15:25:00,463.65,eod_no_hit,-1.25,-0.002689,2.8,3.6,370,2018-01-23 15:25:00,463.65,eod_no_hit,-1.25,-0.002689,2.8,3.6,370,2018-01-23 15:25:00,463.65,eod_no_hit,-1.25,-0.002689,2.8,3.6,370,2018-01-23 15:25:00,463.65,eod_no_hit,-1.25,-0.002689,2.8,3.6,370,2018-01-23 15:25:00,463.65,eod_no_hit,-1.25,-0.002689,2.8,3.6,370,2018-01-23 15:25:00,463.65,eod_no_hit,-1.25,-0.002689,2.8,3.6,370,2018-01-23 09:20:00,464.9,breakeven,0.0,0.0,2.8,0.1,5
1,RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,2018-04-27,2018-04-27 09:15:00,473.7,470.9,458.6,451.9,439.05,0.4913,1.0,2.0,5.755,sma50,loose,off,sameday,466.75,477.3,466.5,473.7,8636070,1500605.8,8.4315,2018-04-27 15:25:00,470.5,eod,-3.2,-0.006755,3.6,6.0,370,2018-04-27 15:25:00,470.5,eod_no_hit,-3.2,-0.006755,3.6,6.0,370,2018-04-27 09:20:00,471.1705,atr_sl,-2.5295,-0.00534,0.3,4.1,5,2018-04-27 11:35:00,469.4842,atr_sl,-4.2158,-0.0089,3.6,5.25,140,2018-04-27 15:25:00,470.5,eod_no_hit,-3.2,-0.006755,3.6,6.0,370,2018-04-27 11:35:00,468.8685,chandelier,-4.8315,-0.0102,3.6,5.25,140,2018-04-27 15:25:00,470.5,eod_no_hit,-3.2,-0.006755,3.6,6.0,370,2018-04-27 15:25:00,470.5,eod_no_hit,-3.2,-0.006755,3.6,6.0,370,2018-04-27 15:25:00,470.5,eod_no_hit,-3.2,-0.006755,3.6,6.0,370,2018-04-27 15:25:00,470.5,eod_no_hit,-3.2,-0.006755,3.6,6.0,370,2018-04-27 15:25:00,470.5,eod_no_hit,-3.2,-0.006755,3.6,6.0,370,2018-04-27 15:25:00,470.5,eod_no_hit,-3.2,-0.006755,3.6,6.0,370,2018-04-27 09:40:00,473.7,breakeven,0.0,0.0,3.6,4.1,25
2,RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,2018-07-12,2018-07-12 09:15:00,500.0,496.1,485.1,480.6,456.1,0.3494,1.0,2.0,2.229,sma50,loose,off,sameday,493.05,500.85,492.55,500.0,5216072,2340126.7,10.9364,2018-07-12 15:25:00,510.3,eod,10.3,0.0206,18.8,4.2,370,2018-07-12 15:25:00,510.3,eod_no_hit,10.3,0.0206,18.8,4.2,370,2018-07-12 09:20:00,496.7191,atr_sl,-3.2809,-0.006562,0.0,4.2,5,2018-07-12 15:25:00,510.3,eod_no_hit,10.3,0.0206,18.8,4.2,370,2018-07-12 15:25:00,510.3,eod_no_hit,10.3,0.0206,18.8,4.2,370,2018-07-12 15:25:00,510.3,eod_no_hit,10.3,0.0206,18.8,4.2,370,2018-07-12 15:25:00,510.3,eod_no_hit,10.3,0.0206,18.8,4.2,370,2018-07-12 15:25:00,510.3,eod_no_hit,10.3,0.0206,18.8,4.2,370,2018-07-12 11:40:00,507.45,r_target,7.45,0.0149,9.2,4.2,145,2018-07-12 11:45:00,511.175,r_target,11.175,0.02235,14.7,4.2,150,2018-07-12 12:00:00,514.9,r_target,14.9,0.0298,15.25,4.2,165,2018-07-12 15:25:00,510.3,eod_no_hit,10.3,0.0206,18.8,4.2,370,2018-07-12 15:25:00,510.3,eod_no_hit,10.3,0.0206,18.8,4.2,370
3,RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,2019-05-09,2019-05-09 09:15:00,596.5,638.65,615.85,675.6,651.4,0.7956,1.0,2.0,3.782,sma50,loose,off,sameday,608.5,608.5,595.1,596.5,12139488,3209682.6,15.6118,2019-05-09 15:25:00,591.6,eod,4.9,0.008215,5.5,8.6,370,2019-05-09 15:25:00,591.6,eod_no_hit,4.9,0.008215,5.5,8.6,370,2019-05-09 09:20:00,601.1835,atr_sl,-4.6835,-0.007852,0.0,8.6,5,2019-05-09 09:20:00,604.3059,atr_sl,-7.8059,-0.013086,0.0,8.6,5,2019-05-09 15:25:00,591.6,eod_no_hit,4.9,0.008215,5.5,8.6,370,2019-05-09 15:25:00,591.6,eod_no_hit,4.9,0.008215,5.5,8.6,370,2019-05-09 15:25:00,591.6,eod_no_hit,4.9,0.008215,5.5,8.6,370,2019-05-09 15:25:00,591.6,eod_no_hit,4.9,0.008215,5.5,8.6,370,2019-05-09 15:25:00,591.6,eod_no_hit,4.9,0.008215,5.5,8.6,370,2019-05-09 15:25:00,591.6,eod_no_hit,4.9,0.008215,5.5,8.6,370,2019-05-09 15:25:00,591.6,eod_no_hit,4.9,0.008215,5.5,8.6,370,2019-05-09 15:25:00,591.6,eod_no_hit,4.9,0.008215,5.5,8.6,370,2019-05-09 15:25:00,591.6,eod_no_hit,4.9,0.008215,5.5,8.6,370
4,RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,2019-08-05,2019-08-05 09:15:00,540.7,571.1,553.85,582.4,548.25,0.1032,1.0,2.0,2.419,sma50,loose,off,sameday,551.0,551.0,540.4,540.7,4837746,2000216.9,14.0409,2019-08-05 15:25:00,538.3,eod,2.4,0.004439,7.9,3.95,370,2019-08-05 15:25:00,538.3,eod_no_hit,2.4,0.004439,7.9,3.95,370,2019-08-05 15:25:00,538.3,eod_no_hit,2.4,0.004439,7.9,3.95,370,2019-08-05 15:25:00,538.3,eod_no_hit,2.4,0.004439,7.9,3.95,370,2019-08-05 15:25:00,538.3,eod_no_hit,2.4,0.004439,7.9,3.95,370,2019-08-05 15:25:00,538.3,eod_no_hit,2.4,0.004439,7.9,3.95,370,2019-08-05 15:25:00,538.3,eod_no_hit,2.4,0.004439,7.9,3.95,370,2019-08-05 15:25:00,538.3,eod_no_hit,2.4,0.004439,7.9,3.95,370,2019-08-05 15:25:00,538.3,eod_no_hit,2.4,0.004439,7.9,3.95,370,2019-08-05 15:25:00,538.3,eod_no_hit,2.4,0.004439,7.9,3.95,370,2019-08-05 15:25:00,538.3,eod_no_hit,2.4,0.004439,7.9,3.95,370,2019-08-05 15:25:00,538.3,eod_no_hit,2.4,0.004439,7.9,3.95,370,2019-08-05 11:55:00,540.7,breakeven,-0.0,-0.0,7.9,3.95,160
5,RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,2020-11-02,2020-11-02 09:15:00,937.7,984.2,963.6,1001.8,948.9,0.2628,1.0,2.0,3.439,sma50,loose,off,sameday,966.1,966.1,932.3,937.7,16324150,4746188.4,26.9834,2020-11-02 15:25:00,894.45,eod,43.25,0.046123,51.3,16.0,370,2020-11-02 15:25:00,894.45,eod_no_hit,43.25,0.046123,51.3,16.0,370,2020-11-02 09:20:00,945.795,atr_sl,-8.095,-0.008633,0.0,16.0,5,2020-11-02 09:20:00,951.1917,atr_sl,-13.4917,-0.014388,0.0,16.0,5,2020-11-02 15:25:00,894.45,eod_no_hit,43.25,0.046123,51.3,16.0,370,2020-11-02 15:25:00,894.45,eod_no_hit,43.25,0.046123,51.3,16.0,370,2020-11-02 15:25:00,894.45,eod_no_hit,43.25,0.046123,51.3,16.0,370,2020-11-02 15:25:00,894.45,eod_no_hit,43.25,0.046123,51.3,16.0,370,2020-11-02 12:20:00,909.3,r_target,28.4,0.030287,33.5,16.0,185,2020-11-02 15:10:00,895.1,r_target,42.6,0.04543,47.65,16.0,355,2020-11-02 15:25:00,894.45,eod_no_hit,43.25,0.046123,51.3,16.0,370,2020-11-02 15:25:00,894.45,eod_no_hit,43.25,0.046123,51.3,16.0,370,2020-11-02 15:25:00,894.45,eod_no_hit,43.25,0.046123,51.3,16.0,370
6,RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,2021-01-21,2021-01-21 09:15:00,1004.2,980.85,953.9,941.25,902.0,0.1283,1.0,2.0,2.147,sma50,loose,off,sameday,992.3,1004.4,989.2,1004.2,9507912,4427437.9,22.5977,2021-01-21 15:25:00,1004.7,eod,0.5,0.000498,6.2,14.3,370,2021-01-21 15:25:00,1004.7,eod_no_hit,0.5,0.000498,6.2,14.3,370,2021-01-21 09:20:00,997.4207,atr_sl,-6.7793,-0.006751,0.0,13.15,5,2021-01-21 09:20:00,992.9011,atr_sl,-11.2989,-0.011252,0.0,13.15,5,2021-01-21 15:25:00,1004.7,eod_no_hit,0.5,0.000498,6.2,14.3,370,2021-01-21 15:25:00,1004.7,eod_no_hit,0.5,0.000498,6.2,14.3,370,2021-01-21 15:25:00,1004.7,eod_no_hit,0.5,0.000498,6.2,14.3,370,2021-01-21 15:25:00,1004.7,eod_no_hit,0.5,0.000498,6.2,14.3,370,2021-01-21 15:25:00,1004.7,eod_no_hit,0.5,0.000498,6.2,14.3,370,2021-01-21 15:25:00,1004.7,eod_no_hit,0.5,0.000498,6.2,14.3,370,2021-01-21 15:25:00,1004.7,eod_no_hit,0.5,0.000498,6.2,14.3,370,2021-01-21 15:25:00,1004.7,eod_no_hit,0.5,0.000498,6.2,14.3,370,2021-01-21 15:25:00,1004.7,eod_no_hit,0.5,0.000498,6.2,14.3,370
7,RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,2021-01-27,2021-01-27 09:15:00,905.6,969.85,920.8,1010.4,916.7,0.916,1.0,2.0,2.098,sma50,loose,off,sameday,917.45,917.45,901.75,905.6,10469468,4991265.5,26.549,2021-01-27 15:25:00,900.8,eod,4.8,0.0053,5.8,9.8,370,2021-01-27 15:25:00,900.8,eod_no_hit,4.8,0.0053,5.8,9.8,370,2021-01-27 09:25:00,913.5647,atr_sl,-7.9647,-0.008795,1.8,9.8,10,2021-01-27 15:25:00,900.8,eod_no_hit,4.8,0.0053,5.8,9.8,370,2021-01-27 15:25:00,900.8,eod_no_hit,4.8,0.0053,5.8,9.8,370,2021-01-27 15:25:00,900.8,eod_no_hit,4.8,0.0053,5.8,9.8,370,2021-01-27 15:25:00,900.8,eod_no_hit,4.8,0.0053,5.8,9.8,370,2021-01-27 15:25:00,900.8,eod_no_hit,4.8,0.0053,5.8,9.8,370,2021-01-27 15:25:00,900.8,eod_no_hit,4.8,0.0053,5.8,9.8,370,2021-01-27 15:25:00,900.8,eod_no_hit,4.8,0.0053,5.8,9.8,370,2021-01-27 15:25:00,900.8,eod_no_hit,4.8,0.0053,5.8,9.8,370,2021-01-27 15:25:00,900.8,eod_no_hit,4.8,0.0053,5.8,9.8,370,2021-01-27 15:25:00,900.8,eod_no_hit,4.8,0.0053,5.8,9.8,370
8,RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,2021-08-26,2021-08-26 09:15:00,1062.8,1058.05,1039.0,1049.95,1014.3,0.5359,1.0,2.0,2.277,sma50,loose,off,sameday,1052.3,1064.95,1051.35,1062.8,4049428,1778066.8,18.5735,2021-08-26 15:25:00,1063.8,eod,1.0,0.000941,7.0,8.8,370,2021-08-26 15:25:00,1063.8,eod_no_hit,1.0,0.000941,7.0,8.8,370,2021-08-26 09:20:00,1057.2279,atr_sl,-5.5721,-0.005243,0.0,8.8,5,2021-08-26 15:25:00,1063.8,eod_no_hit,1.0,0.000941,7.0,8.8,370,2021-08-26 15:25:00,1063.8,eod_no_hit,1.0,0.000941,7.0,8.8,370,2021-08-26 15:25:00,1063.8,eod_no_hit,1.0,0.000941,7.0,8.8,370,2021-08-26 15:25:00,1063.8,eod_no_hit,1.0,0.000941,7.0,8.8,370,2021-08-26 15:25:00,1063.8,eod_no_hit,1.0,0.000941,7.0,8.8,370,2021-08-26 15:25:00,1063.8,eod_no_hit,1.0,0.000941,7.0,8.8,370,2021-08-26 15:25:00,1063.8,eod_no_hit,1.0,0.000941,7.0,8.8,370,2021-08-26 15:25:00,1063.8,eod_no_hit,1.0,0.000941,7.0,8.8,370,2021-08-26 15:25:00,1063.8,eod_no_hit,1.0,0.000941,7.0,8.8,370,2021-08-26 12:00:00,1062.8,breakeven,0.0,0.0,7.0,8.8,165
9,RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,2022-01-14,2022-01-14 09:15:00,1218.6,1211.05,1195.5,1180.55,1126.5,0.4311,1.0,2.0,3.074,sma50,loose,off,sameday,1208.2,1218.8,1205.3,1218.6,5902112,1919925.5,24.3609,2022-01-14 15:25:00,1209.1,eod,-9.5,-0.007796,5.0,14.8,370,2022-01-14 10:40:00,1205.3,hard_sl,-13.3,-0.010914,5.0,14.8,85,2022-01-14 09:20:00,1211.2917,atr_sl,-7.3083,-0.005997,0.0,7.85,5,2022-01-14 10:25:00,1206.4195,atr_sl,-12.1805,-0.009995,5.0,12.5,70,2022-01-14 15:25:00,1209.1,eod_no_hit,-9.5,-0.007796,5.0,14.8,370,2022-01-14 15:25:00,1209.1,eod_no_hit,-9.5,-0.007796,5.0,14.8,370,2022-01-14 15:25:00,1209.1,eod_no_hit,-9.5,-0.007796,5.0,14.8,370,2022-01-14 15:25:00,1209.1,eod_no_hit,-9.5,-0.007796,5.0,14.8,370,2022-01-14 10:40:00,1205.3,hard_sl,-13.3,-0.010914,5.0,14.8,85,2022-01-14 10:40:00,1205.3,hard_sl,-13.3,-0.010914,5.0,14.8,85,2022-01-14 10:40:00,1205.3,hard_sl,-13.3,-0.010914,5.0,14.8,85,2022-01-14 10:40:00,1205.3,hard_sl,-13.3,-0.010914,5.0,14.8,85,2022-01-14 10:40:00,1205.3,hard_sl,-13.3,-0.010914,5.0,14.8,85
