,symbol,rs,pct_from_ATH,posfrac,last_close,above_own_100sma
1,MTARTECH,3.069,-4.7,0.58,7234.0,yes
2,HFCL,2.207,-8.6,0.58,147.89,yes
3,TDPOWERSYS,1.895,0.0,0.75,1311.3,yes
4,ATHERENERG,1.507,-3.3,0.83,937.4,yes
5,LAURUSLABS,1.476,0.0,0.83,1323.6,yes
6,BHARATFORG,1.457,-3.8,0.75,1913.1,yes
7,MAHABANK,1.405,-8.6,0.67,78.02,yes
8,JAINREC,1.403,-0.9,0.75,566.15,yes
9,BELRISE,1.4,-6.4,0.75,209.46,yes
10,DATAPATTNS,1.397,-8.1,0.58,3876.5,yes
11,GLENMARK,1.391,-3.8,0.67,2325.9,yes
12,SOLARINDS,1.381,-1.6,0.58,17314.0,yes
13,NAM-INDIA,1.373,-0.3,0.75,1100.6,yes
14,KEI,1.368,-1.7,0.75,5117.5,yes
15,AUROPHARMA,1.347,-3.7,0.58,1511.8,yes
