y,1,2,3,4,5,6,7,8,9,10,11,12
2014,0.53,0.12,0.24,3.34,20.71,14.01,2.54,7.48,11.26,4.68,6.26,3.26
2015,3.31,0.0,0.53,0.53,0.53,0.53,0.12,-4.82,0.53,0.53,0.53,0.53
2016,0.53,0.53,0.12,2.38,2.62,12.26,3.84,5.14,2.59,0.0,0.53,0.53
2017,0.12,1.62,2.23,8.23,2.36,2.79,2.94,3.99,2.77,16.48,6.05,2.23
2018,0.16,-3.61,-3.41,0.12,-1.03,-4.95,5.97,9.1,-14.49,0.53,0.53,0.53
2019,0.2,-2.47,9.31,-1.77,4.88,-1.6,-8.47,0.53,0.12,9.62,-0.35,1.16
2020,5.01,-1.08,0.53,0.53,0.53,0.12,11.72,6.51,18.05,1.16,13.55,8.93
2021,3.47,17.19,12.03,5.63,7.39,13.19,10.35,-0.12,2.45,0.74,4.34,0.53
2022,0.53,0.53,0.12,9.15,0.53,0.53,0.12,6.91,-1.4,-0.19,2.08,-3.3
2023,-4.22,0.53,0.53,0.12,3.89,5.46,6.69,7.85,2.77,4.47,0.12,6.6
2024,15.67,-0.51,-3.55,11.09,7.37,10.21,1.74,-0.28,2.16,-4.81,0.53,0.53
2025,0.53,0.53,0.2,0.74,-0.25,4.06,-7.04,-2.6,0.53,0.12,2.29,0.54
2026,-1.72,0.53,0.53,,,,,,,,,
