config,q,dd,regime,cagr,sharpe,maxdd,calmar
COMBO_baseline,,,False,39.9,1.35,-40.3,0.99
q__dd__REG,,,True,36.4,1.58,-36.3,1.0
q__dd-0.5_nor,,-0.5,False,36.6,1.29,-38.9,0.94
q__dd-0.5_REG,,-0.5,True,33.8,1.51,-34.4,0.98
q__dd-0.4_nor,,-0.4,False,34.6,1.25,-34.8,0.99
q__dd-0.4_REG,,-0.4,True,31.9,1.45,-32.7,0.97
q0.5_dd__nor,0.5,,False,39.7,1.37,-41.8,0.95
q0.5_dd__REG,0.5,,True,37.1,1.61,-34.7,1.07
q0.5_dd-0.5_nor,0.5,-0.5,False,38.0,1.33,-40.5,0.94
q0.5_dd-0.5_REG,0.5,-0.5,True,34.7,1.55,-31.4,1.11
q0.5_dd-0.4_nor,0.5,-0.4,False,34.9,1.25,-34.2,1.02
q0.5_dd-0.4_REG,0.5,-0.4,True,33.3,1.49,-29.9,1.11
q0.58_dd__nor,0.58,,False,38.7,1.36,-40.9,0.95
q0.58_dd__REG,0.58,,True,36.1,1.61,-33.8,1.07
q0.58_dd-0.5_nor,0.58,-0.5,False,36.2,1.3,-39.6,0.91
q0.58_dd-0.5_REG,0.58,-0.5,True,34.0,1.55,-31.8,1.07
q0.58_dd-0.4_nor,0.58,-0.4,False,34.2,1.23,-34.0,1.01
q0.58_dd-0.4_REG,0.58,-0.4,True,33.3,1.49,-29.6,1.13
