date,SMA100->cash (Ph09 best),OFF no-hedge (ref),SMA100->beta hr1.0,SMA100->beta hr0.5,always hedge hr0.25,always hedge hr0.40,always hedge hr0.60
2014,101.6,122.7,122.7,122.7,105.7,96.0,83.7
2015,2.6,-0.4,7.3,3.5,-0.6,-0.8,-1.0
2016,34.9,4.5,18.1,11.2,1.8,0.2,-2.1
2017,63.9,72.0,72.0,72.0,60.8,54.3,46.1
2018,-12.6,-18.1,-9.9,-14.0,-19.3,-20.1,-21.2
2019,9.0,7.2,13.9,10.5,3.6,1.5,-1.3
2020,85.6,79.3,108.4,95.0,70.0,64.1,56.0
2021,109.7,125.5,129.1,127.3,112.2,104.5,94.5
2022,15.7,12.4,27.2,19.7,10.6,9.4,7.8
2023,39.9,59.2,70.3,64.7,51.4,46.8,40.9
2024,45.1,50.1,63.0,56.5,46.2,43.9,40.7
2025,-1.8,-17.3,-11.8,-14.6,-19.8,-21.2,-23.1
2026,-0.7,-1.4,1.4,-0.0,-1.1,-0.9,-0.6
