config,cagr,cagr_ex_top1,cagr_ex_top3,drop3_delta,robust_vs_20
mid_126d_6m_N10,40.7,39.3,36.5,4.2,yes
combo_blend_6m12m_N25,40.4,39.7,39.0,1.4,yes
mid_blend_6m12m_N10,40.2,40.6,37.7,2.5,yes
mid_120d_N10,39.9,38.7,36.0,3.9,yes
combo_blend_6m12m_N20,39.7,38.5,37.9,1.8,yes
combo_blend_6m12m_N15,39.5,38.7,37.7,1.8,yes
small_blend_6m12m_N15,39.3,37.4,35.3,4.0,yes
mid_126d_6m_N15,38.4,39.0,36.3,2.1,yes
combo_blend_6m12m_N30,38.4,37.9,37.1,1.3,yes
mid_120d_N15,38.3,37.7,33.9,4.4,yes
small_252d_1y_N15,38.0,36.9,35.3,2.7,yes
combo_126d_6m_N20,37.5,36.9,36.0,1.5,yes
