config,score,N,buffer,gate,donchian,cagr,net20,maxdd,sharpe,sortino,calmar,net_calmar,fills,donch_exits,gate_derisk,avg_turn,cost_pct
mom30_N5_buf18_g0_d0,mom30,5,18,0,0,26.8,22.6,-56.0,1.0,1.3,0.48,0.4,149,0,0,0.107,136.8
mom30_N5_buf18_g0_d15,mom30,5,18,0,15,27.2,22.4,-35.8,1.22,1.56,0.76,0.62,149,434,0,0.303,318.6
mom30_N5_buf18_g0_d20,mom30,5,18,0,20,24.3,19.9,-43.2,1.09,1.39,0.56,0.46,149,357,0,0.255,232.3
mom30_N5_buf18_g0_d30,mom30,5,18,0,30,21.5,17.6,-46.5,0.94,1.23,0.46,0.38,149,252,0,0.197,158.9
mom30_N5_buf18_g100_d0,mom30,5,18,100,0,22.9,18.6,-45.8,1.09,1.28,0.5,0.41,110,0,23,0.17,109.0
mom30_N5_buf18_g100_d15,mom30,5,18,100,15,26.1,21.9,-22.9,1.39,1.54,1.14,0.96,112,289,23,0.324,219.0
mom30_N5_buf18_g100_d20,mom30,5,18,100,20,25.0,21.0,-30.4,1.3,1.45,0.82,0.69,112,223,23,0.277,183.5
mom30_N5_buf18_g100_d30,mom30,5,18,100,30,21.7,17.8,-36.1,1.11,1.3,0.6,0.49,113,149,23,0.23,142.5
mom30_N5_buf18_g200_d0,mom30,5,18,200,0,27.2,22.2,-42.0,1.18,1.46,0.65,0.53,120,0,18,0.152,124.2
mom30_N5_buf18_g200_d15,mom30,5,18,200,15,26.4,21.6,-28.7,1.33,1.55,0.92,0.75,123,331,18,0.326,222.0
mom30_N5_buf18_g200_d20,mom30,5,18,200,20,25.2,20.8,-31.2,1.25,1.47,0.81,0.67,121,258,18,0.276,181.3
mom30_N5_buf18_g200_d30,mom30,5,18,200,30,24.3,19.9,-34.5,1.16,1.42,0.7,0.58,120,171,18,0.223,156.9
mom30_N5_buf22_g0_d0,mom30,5,22,0,0,22.4,18.8,-50.1,0.87,1.15,0.45,0.38,149,0,0,0.101,85.2
mom30_N5_buf22_g0_d15,mom30,5,22,0,15,26.1,21.4,-35.8,1.18,1.51,0.73,0.6,149,437,0,0.303,297.2
mom30_N5_buf22_g0_d20,mom30,5,22,0,20,23.4,19.2,-43.2,1.06,1.36,0.54,0.44,149,361,0,0.256,213.0
mom30_N5_buf22_g0_d30,mom30,5,22,0,30,21.9,17.7,-46.5,0.96,1.26,0.47,0.38,149,249,0,0.193,156.6
mom30_N5_buf22_g100_d0,mom30,5,22,100,0,20.3,16.3,-45.8,0.98,1.12,0.44,0.36,110,0,23,0.167,84.3
mom30_N5_buf22_g100_d15,mom30,5,22,100,15,26.1,21.9,-22.9,1.39,1.54,1.14,0.96,112,289,23,0.324,219.0
mom30_N5_buf22_g100_d20,mom30,5,22,100,20,24.5,20.6,-30.4,1.28,1.43,0.81,0.68,112,224,23,0.277,175.3
mom30_N5_buf22_g100_d30,mom30,5,22,100,30,21.6,17.6,-36.1,1.11,1.31,0.6,0.49,113,149,23,0.228,138.4
mom30_N5_buf22_g200_d0,mom30,5,22,200,0,26.6,22.1,-37.1,1.15,1.41,0.72,0.6,120,0,18,0.144,101.3
mom30_N5_buf22_g200_d15,mom30,5,22,200,15,26.4,21.6,-28.7,1.33,1.55,0.92,0.75,123,331,18,0.326,222.0
mom30_N5_buf22_g200_d20,mom30,5,22,200,20,24.8,20.5,-31.2,1.24,1.45,0.79,0.65,121,259,18,0.276,174.0
mom30_N5_buf22_g200_d30,mom30,5,22,200,30,24.2,19.6,-34.5,1.17,1.43,0.7,0.57,120,171,18,0.221,153.2
mom30_N5_buf26_g0_d0,mom30,5,26,0,0,23.8,20.1,-44.4,0.91,1.19,0.54,0.45,149,0,0,0.093,81.7
mom30_N5_buf26_g0_d15,mom30,5,26,0,15,27.0,22.2,-31.8,1.23,1.58,0.85,0.7,149,435,0,0.3,297.2
mom30_N5_buf26_g0_d20,mom30,5,26,0,20,24.9,20.5,-35.9,1.12,1.46,0.69,0.57,149,357,0,0.25,211.2
mom30_N5_buf26_g0_d30,mom30,5,26,0,30,24.2,19.8,-42.5,1.04,1.38,0.57,0.47,149,248,0,0.187,156.9
mom30_N5_buf26_g100_d0,mom30,5,26,100,0,20.5,16.5,-40.6,0.99,1.14,0.5,0.41,110,0,23,0.159,80.8
mom30_N5_buf26_g100_d15,mom30,5,26,100,15,26.8,22.4,-20.5,1.43,1.62,1.31,1.1,112,289,23,0.321,217.6
mom30_N5_buf26_g100_d20,mom30,5,26,100,20,25.3,21.3,-24.0,1.33,1.53,1.06,0.89,112,223,23,0.272,173.7
mom30_N5_buf26_g100_d30,mom30,5,26,100,30,23.0,18.8,-29.0,1.19,1.42,0.79,0.65,113,148,23,0.222,138.6
mom30_N5_buf26_g200_d0,mom30,5,26,200,0,23.9,19.5,-37.6,1.06,1.26,0.64,0.52,120,0,18,0.141,90.4
mom30_N5_buf26_g200_d15,mom30,5,26,200,15,26.9,22.0,-30.2,1.37,1.62,0.89,0.73,123,330,18,0.324,221.3
mom30_N5_buf26_g200_d20,mom30,5,26,200,20,25.7,21.3,-30.0,1.29,1.54,0.86,0.71,121,257,18,0.271,172.9
mom30_N5_buf26_g200_d30,mom30,5,26,200,30,25.8,21.0,-34.1,1.24,1.55,0.76,0.62,120,169,18,0.216,156.8
mom30_N8_buf18_g0_d0,mom30,8,18,0,0,23.6,19.9,-50.8,0.99,1.25,0.46,0.39,149,0,0,0.121,107.8
mom30_N8_buf18_g0_d15,mom30,8,18,0,15,26.0,21.8,-34.5,1.34,1.65,0.75,0.63,149,692,0,0.306,278.5
mom30_N8_buf18_g0_d20,mom30,8,18,0,20,24.9,21.0,-39.4,1.24,1.56,0.63,0.53,149,569,0,0.261,221.0
mom30_N8_buf18_g0_d30,mom30,8,18,0,30,24.0,20.2,-42.1,1.14,1.46,0.57,0.48,149,395,0,0.204,181.8
mom30_N8_buf18_g100_d0,mom30,8,18,100,0,24.5,20.5,-31.4,1.28,1.44,0.78,0.65,110,0,23,0.18,114.5
mom30_N8_buf18_g100_d15,mom30,8,18,100,15,25.2,21.6,-16.7,1.54,1.61,1.51,1.3,111,452,23,0.32,201.0
mom30_N8_buf18_g100_d20,mom30,8,18,100,20,23.5,20.2,-21.1,1.39,1.47,1.11,0.96,111,360,23,0.279,158.8
mom30_N8_buf18_g100_d30,mom30,8,18,100,30,24.4,20.8,-27.4,1.38,1.5,0.89,0.76,113,238,23,0.234,154.1
mom30_N8_buf18_g200_d0,mom30,8,18,200,0,27.5,22.9,-38.1,1.32,1.56,0.72,0.6,120,0,18,0.166,125.7
mom30_N8_buf18_g200_d15,mom30,8,18,200,15,25.6,21.4,-28.8,1.47,1.64,0.89,0.74,121,523,18,0.325,209.7
mom30_N8_buf18_g200_d20,mom30,8,18,200,20,24.3,20.5,-28.9,1.34,1.51,0.84,0.71,120,418,18,0.282,174.9
mom30_N8_buf18_g200_d30,mom30,8,18,200,30,25.9,21.8,-35.5,1.36,1.56,0.73,0.62,120,277,18,0.231,175.4
mom30_N8_buf22_g0_d0,mom30,8,22,0,0,24.6,21.0,-52.7,1.01,1.28,0.47,0.4,149,0,0,0.109,107.4
mom30_N8_buf22_g0_d15,mom30,8,22,0,15,25.6,21.5,-34.5,1.32,1.63,0.74,0.62,149,698,0,0.305,253.6
mom30_N8_buf22_g0_d20,mom30,8,22,0,20,23.4,19.7,-39.4,1.19,1.49,0.6,0.5,149,574,0,0.258,187.1
mom30_N8_buf22_g0_d30,mom30,8,22,0,30,21.8,18.1,-42.4,1.06,1.35,0.51,0.43,149,399,0,0.2,146.2
mom30_N8_buf22_g100_d0,mom30,8,22,100,0,23.1,19.1,-29.5,1.21,1.36,0.78,0.65,110,0,23,0.172,95.0
mom30_N8_buf22_g100_d15,mom30,8,22,100,15,24.9,21.3,-16.7,1.52,1.6,1.49,1.28,111,454,23,0.319,195.7
mom30_N8_buf22_g100_d20,mom30,8,22,100,20,23.6,20.2,-17.8,1.39,1.49,1.32,1.14,111,361,23,0.276,156.0
mom30_N8_buf22_g100_d30,mom30,8,22,100,30,22.6,19.1,-27.4,1.29,1.4,0.82,0.7,113,240,23,0.23,131.4
mom30_N8_buf22_g200_d0,mom30,8,22,200,0,26.1,21.8,-38.0,1.25,1.49,0.69,0.57,120,0,18,0.155,101.1
mom30_N8_buf22_g200_d15,mom30,8,22,200,15,25.1,21.0,-28.8,1.45,1.62,0.87,0.73,121,526,18,0.323,194.0
mom30_N8_buf22_g200_d20,mom30,8,22,200,20,23.4,19.6,-28.9,1.31,1.47,0.81,0.68,120,423,18,0.28,154.5
mom30_N8_buf22_g200_d30,mom30,8,22,200,30,23.7,19.7,-36.4,1.26,1.45,0.65,0.54,120,280,18,0.227,146.4
mom30_N8_buf26_g0_d0,mom30,8,26,0,0,23.6,20.2,-45.7,0.98,1.26,0.52,0.44,149,0,0,0.099,88.7
mom30_N8_buf26_g0_d15,mom30,8,26,0,15,25.9,21.8,-34.5,1.35,1.66,0.75,0.63,149,696,0,0.302,250.5
mom30_N8_buf26_g0_d20,mom30,8,26,0,20,23.2,19.5,-40.8,1.19,1.51,0.57,0.48,149,573,0,0.254,180.0
mom30_N8_buf26_g0_d30,mom30,8,26,0,30,22.1,18.5,-43.5,1.07,1.38,0.51,0.43,149,398,0,0.192,139.6
mom30_N8_buf26_g100_d0,mom30,8,26,100,0,23.0,18.9,-30.7,1.21,1.37,0.75,0.62,110,0,23,0.165,94.2
mom30_N8_buf26_g100_d15,mom30,8,26,100,15,25.1,21.5,-16.7,1.54,1.64,1.5,1.29,111,454,23,0.316,193.3
mom30_N8_buf26_g100_d20,mom30,8,26,100,20,23.4,20.0,-18.0,1.4,1.53,1.3,1.11,111,360,23,0.273,150.1
mom30_N8_buf26_g100_d30,mom30,8,26,100,30,22.8,19.3,-24.6,1.31,1.43,0.93,0.78,112,235,23,0.222,127.8
mom30_N8_buf26_g200_d0,mom30,8,26,200,0,23.9,20.0,-37.8,1.17,1.37,0.63,0.53,120,0,18,0.147,85.2
