date,NIFTYBEES,rsblend_N8_buf22_g100_d15,rsblend_N8_buf18_g100_d15,rsblend_N8_buf26_g100_d15,rsblend_N8_buf18_g100_d20,rsblend_N8_buf22_g100_d20,rsblend_N5_buf22_g100_d15
2014,31.6,117.6,100.9,104.0,119.9,125.6,111.2
2015,-4.3,-2.4,-2.4,-2.4,-6.2,-6.2,-2.9
2016,4.0,45.6,47.9,45.6,50.6,48.0,49.4
2017,29.9,48.2,49.8,48.2,49.7,48.2,64.6
2018,4.8,-0.4,2.9,-0.4,-0.7,-2.7,-4.6
2019,13.6,-4.2,-5.6,-4.2,-5.3,-5.3,0.5
2020,15.4,59.2,59.2,59.2,64.4,64.4,78.9
2021,26.0,88.9,88.9,88.9,98.5,98.5,72.1
2022,5.5,14.0,14.2,14.0,13.1,12.5,22.5
2023,21.0,50.5,49.0,50.5,52.0,52.2,54.3
2024,10.4,44.7,44.7,44.7,32.6,32.6,35.5
2025,11.7,15.6,15.6,15.6,16.4,16.4,12.0
2026,-9.5,-6.8,-6.8,-6.8,-8.2,-8.2,-8.9
