band,aum,cagr,maxdd,sharpe,calmar,slip_drag_pct,avg_participation,max_participation,donch_exits,fills
top200,gross,34.4,-15.6,1.82,2.21,0.0,0.0,0.0,453,109
top200,1cr,30.2,-22.5,1.62,1.34,264.9,0.005,0.1,453,109
top200,10cr,23.7,-33.3,1.3,0.71,393.3,0.047,0.99,453,109
top200,50cr,12.7,-49.8,0.74,0.25,381.4,0.239,4.95,453,109
top500,gross,36.6,-25.4,1.88,1.44,0.0,0.0,0.0,465,110
top500,1cr,11.7,-66.3,0.65,0.18,275.9,2.933,1081.31,465,110
top500,10cr,-17.0,-97.6,-0.55,-0.17,201.5,30.434,10813.15,465,110
top500,50cr,-49.7,-100.0,-1.57,-0.5,163.3,158.569,54065.74,465,110
mid,gross,28.2,-34.5,1.58,0.82,0.0,0.0,0.0,454,108
mid,1cr,22.7,-42.0,1.3,0.54,281.3,0.01,0.3,454,108
mid,10cr,13.6,-53.5,0.82,0.25,393.3,0.104,3.07,454,108
mid,50cr,-1.5,-70.9,0.02,-0.02,328.4,0.526,16.53,454,108
small,gross,33.5,-30.9,1.81,1.09,0.0,0.0,0.0,482,111
small,1cr,0.1,-82.3,0.12,0.0,178.9,4.723,1960.85,482,111
small,10cr,-37.6,-99.9,-1.24,-0.38,125.9,50.305,19608.46,482,111
small,50cr,-76.0,-100.0,-2.12,-0.76,108.1,291.044,98042.29,482,111
micro,gross,9.0,-17.8,1.12,0.51,0.0,0.0,0.0,108,23
micro,1cr,7.5,-18.4,0.93,0.41,40.6,0.014,0.03,108,23
micro,10cr,4.8,-21.2,0.59,0.23,97.6,0.138,0.26,108,23
micro,50cr,-0.2,-47.2,0.03,-0.0,161.4,0.7,1.34,108,23
