stock,run_pct,in_top200,mo_in200,mo_in500,held,captured_pct,capture_ratio,run_start
SIGIND,5996,False,0,13,True,30,0.0,2015-01-28
BCG,4991,False,0,8,True,43,0.01,2020-12-16
DUCON,1961,False,0,12,True,27,0.02,2014-08-01
VIVIDHA,1866,False,0,12,True,193,0.1,2014-05-23
HEG,1690,False,1,13,True,156,0.09,2016-12-29
GNFC,1598,False,0,12,True,401,0.24,2015-10-23
INTELLECT,1473,False,0,13,False,0,0.0,2020-03-26
ADANIGREEN,1304,True,7,12,True,245,0.2,2019-09-09
ATGL,1297,True,13,13,True,21,0.02,2020-03-31
ISFT,1230,False,0,13,True,4,0.01,2014-06-25
GRAPHITE,1092,False,3,13,True,231,0.21,2016-12-29
NIBL,1070,False,0,12,True,-2,-0.0,2014-03-21
POONAWALLA,1061,False,0,12,True,41,0.04,2020-06-04
TARIL,1034,False,0,8,True,161,0.16,2023-04-18
ADANIENT,1029,True,12,12,True,59,0.06,2020-06-03
CENTURYPLY,986,False,3,13,True,45,0.04,2014-02-26
COCHINSHIP,903,True,13,13,True,106,0.12,2023-06-30
PRINCEPIPE,873,False,0,12,False,0,0.0,2020-05-22
SAREGAMA,869,False,0,10,True,57,0.07,2020-05-29
KITEX,837,False,0,13,True,79,0.15,2014-03-27
NEULANDLAB,797,False,0,13,True,-8,-0.01,2020-03-30
UGARSUGAR,793,False,0,11,True,111,0.16,2015-07-16
BORORENEW,790,False,0,12,True,-39,-0.05,2020-03-25
BUTTERFLY,780,False,0,12,True,9,0.01,2020-05-22
ADANIENSOL,779,False,4,12,True,50,0.06,2020-06-04
IFBIND,769,False,0,13,True,36,0.06,2014-03-26
RAIN,741,True,8,12,True,7,0.01,2017-01-03
KINGFA,735,False,0,12,True,16,0.02,2014-03-04
RUSHIL,712,False,4,12,True,29,0.04,2015-06-03
FORCEMOT,685,False,0,12,True,45,0.07,2023-04-19
