label,universe,top_n,cash_leg,roc,ma,cost_bps,cagr,sharpe,sortino,max_drawdown,calmar,vol,turnover_annual,pct_in_cash,n_months,start,end,final_mult
core3_top1_nocash_roc12_ma6,core3,1,False,roc12,ma6,20.0,10.5,0.574,0.909,-34.41,0.305,21.4,2.83,0.0,125,2016-02-29,2026-06-30,2.829
core3_top1_nocash_roc12_noma,core3,1,False,roc12,noma,20.0,10.5,0.574,0.909,-34.41,0.305,21.4,2.83,0.0,125,2016-02-29,2026-06-30,2.829
core3_top1_nocash_roc12_ma10,core3,1,False,roc12,ma10,20.0,10.5,0.574,0.909,-34.41,0.305,21.4,2.83,0.0,125,2016-02-29,2026-06-30,2.829
core3_top1_nocash_roc6_ma6,core3,1,False,roc6,ma6,20.0,10.57,0.596,0.888,-28.36,0.373,20.37,2.98,0.0,131,2015-08-31,2026-06-30,2.994
core3_top1_nocash_roc6_noma,core3,1,False,roc6,noma,20.0,10.57,0.596,0.888,-28.36,0.373,20.37,2.98,0.0,131,2015-08-31,2026-06-30,2.994
core3_top1_nocash_roc6_ma10,core3,1,False,roc6,ma10,20.0,10.14,0.573,0.858,-28.36,0.358,20.59,3.07,0.0,127,2015-12-31,2026-06-30,2.779
core3_top1_nocash_blend_ma6,core3,1,False,blend,ma6,20.0,11.34,0.615,0.944,-26.21,0.433,21.1,3.41,0.0,125,2016-02-29,2026-06-30,3.061
core3_top1_nocash_blend_noma,core3,1,False,blend,noma,20.0,11.34,0.615,0.944,-26.21,0.433,21.1,3.41,0.0,125,2016-02-29,2026-06-30,3.061
core3_top1_nocash_blend_ma10,core3,1,False,blend,ma10,20.0,11.34,0.615,0.944,-26.21,0.433,21.1,3.41,0.0,125,2016-02-29,2026-06-30,3.061
core3_top1_cash_roc12_ma6,core3,1,True,roc12,ma6,20.0,10.95,0.624,1.072,-24.9,0.44,19.8,3.31,1.6,125,2016-02-29,2026-06-30,2.952
