,three_asset,nifty
2005-02-28,,1.0081495685522532
2005-03-31,0.9740214296817625,0.9674017257909876
2005-04-30,0.9451071036930196,0.9213806327900287
2005-05-31,0.9926004951499138,1.00431447746884
2005-06-30,1.012332749477246,1.0618408437200384
2005-07-31,1.051249307835541,1.1241610738255035
2005-08-31,1.0663895322620363,1.1418983700862897
2005-09-30,1.1279909241727166,1.2416107382550334
2005-10-31,1.1087006652018891,1.1423777564717161
2005-11-30,1.2125924619240767,1.2833173537871525
2005-12-31,1.2391751862972507,1.3763183125599234
2006-01-31,1.2975671279746102,1.4501438159156281
2006-02-28,1.3024308753174152,1.4908916586768939
2006-03-31,1.3803004768797154,1.6538830297219562
2006-04-30,1.4496100685234699,1.6778523489932886
2006-05-31,1.3771605349995117,1.4798657718120807
2006-06-30,1.3585065446744418,1.5119846596356663
2006-07-31,1.374840115947425,1.5436241610738257
2006-08-31,1.429943280008387,1.673058485139022
2006-09-30,1.435346673297193,1.7449664429530198
2006-10-31,1.4709122338433382,1.8384467881112179
2006-11-30,1.5397725477978867,1.9314477468839886
2006-12-31,1.5128626669425924,1.9453499520613615
2007-01-31,1.541315430831645,1.9674017257909875
2007-02-28,1.5060875968597454,1.814477468839885
2007-03-31,1.4883448092513922,1.840843720038351
2007-04-30,1.512721833795462,1.975071907957814
2007-05-31,1.5318585719204287,2.074304889741131
2007-06-30,1.525545253405418,2.0805369127516773
2007-07-31,1.5583149243555041,2.182166826462128
2007-08-31,1.5785714346653121,2.162032598274209
2007-09-30,1.6994396127101792,2.432885906040268
2007-10-31,1.8642038207905467,2.852828379674017
2007-11-30,1.806887566534685,2.7905081495685518
2007-12-31,1.879813667020667,2.9755512943432407
2008-01-31,1.7745866363425815,2.4966442953020134
2008-02-29,1.7977590339523926,2.50862895493768
2008-03-31,1.7255746785462638,2.3125599232981786
2008-04-30,1.8072472401663748,2.493767976989454
2008-05-31,1.88322347176092,2.3633748801534034
2008-06-30,1.7559156993551435,1.969798657718121
2008-07-31,1.7854298498591548,2.12320230105465
2008-08-31,1.769256856035773,2.11744966442953
2008-09-30,1.7138091924442844,1.8887823585810162
2008-10-31,1.4366467107724061,1.3782358581016299
2008-11-30,1.4357475762507554,1.3341323106423777
2008-12-31,1.4796053339195812,1.424256951102589
2009-01-31,1.4972806964326777,1.3887823585810164
2009-02-28,1.5003679124393583,1.3432406519654845
2009-03-31,1.5828978879445856,1.4530201342281879
2009-04-30,1.6784736387823118,1.670661553211889
2009-05-31,1.8564943508606753,2.138542665388303
2009-06-30,1.8493074571987678,2.087248322147651
2009-07-31,1.9480501598620612,2.211888782358581
2009-08-31,1.9972724361236553,2.2406519654841803
2009-09-30,2.0998455740943083,2.419942473633749
2009-10-31,2.037838477515816,2.279961649089166
2009-11-30,2.1924956969493206,2.411792905081496
2009-12-31,2.203087406188528,2.5009587727708538
2010-01-31,2.0963248159150916,2.3619367209971243
2010-02-28,2.1481184555092496,2.3720038350910837
2010-03-31,2.2100627226521468,2.522531160115053
2010-04-30,2.248162577343148,2.512464046021093
2010-05-31,2.26246013526224,2.435282837967402
2010-06-30,2.2749486577406954,2.5594439117929055
2010-07-31,2.3035843883915423,2.604985618408438
2010-08-31,2.321942902029374,2.5944391179290514
2010-09-30,2.4701068911619197,2.8887823585810173
2010-10-31,2.5495404202027974,2.9146692233940565
2010-11-30,2.6025604334818726,2.857142857142858
2010-12-31,2.659303829552651,2.9664429530201355
2011-01-31,2.5759433709087145,2.65915627996165
2011-02-28,2.611271038876489,2.5963566634707584
2011-03-31,2.6651410997923732,2.8010546500479396
2011-04-30,2.749752880672585,2.7780441035474603
2011-05-31,2.7275010961141346,2.6975071907957826
2011-06-30,2.6858670114212253,2.7320230105465013
2011-07-31,2.734883583138449,2.7023010546500488
2011-08-31,2.7917160142698134,2.4304889741131364
2011-09-30,2.743965609256288,2.3988494726749767
2011-10-31,2.9536054306856854,2.5829338446788124
2011-11-30,2.987558635174059,2.3523489932885915
2011-12-31,2.8729730560983118,2.2531160115052744
2012-01-31,3.1564852890378843,2.5210930009587744
2012-02-29,3.1042852796872378,2.6438159156279974
2012-03-31,3.2062841338178942,2.5565675934803465
2012-04-30,3.225403754067288,2.5172579098753607
2012-05-31,3.168438728800658,2.3906999041227244
2012-06-30,3.3283650353032366,2.559923298178333
