,winner,nifty
2016-02-29,0.992191177133786,0.7916201117318435
2016-03-31,1.0264101774570011,0.8837988826815641
2016-04-30,1.0557254545318877,0.888268156424581
2016-05-31,1.0547307099180354,0.923463687150838
2016-06-30,1.0766456865314264,0.9418994413407821
2016-07-31,1.1015338442367912,0.9843575418994412
2016-08-31,1.1122202802378947,1.001117318435754
2016-09-30,1.1119015036784823,0.9815642458100559
2016-10-31,1.1184744393465815,0.9849162011173185
2016-11-30,1.143349867704736,0.9374301675977654
2016-12-31,1.1195641554151963,0.9329608938547486
2017-01-31,1.1665823180979324,0.9743016759776537
2017-02-28,1.2452022629145352,1.0128491620111733
2017-03-31,1.203893397685286,1.04804469273743
2017-04-30,1.1664900178593296,1.0614525139664805
2017-05-31,1.2519919612368493,1.0972067039106146
2017-06-30,1.2479627084564082,1.0905027932960893
2017-07-31,1.3125589192586133,1.1553072625698324
2017-08-31,1.2551149330788072,1.1413407821229051
2017-09-30,1.2467414955061435,1.1284916201117319
2017-10-31,1.2740886841333752,1.1899441340782122
2017-11-30,1.3216531727557623,1.181564245810056
2017-12-31,1.3882825477780611,1.211731843575419
2018-01-31,1.4407401222775809,1.2687150837988828
2018-02-28,1.4383739701957194,1.2139664804469275
2018-03-31,1.4059482123255687,1.1720670391061454
2018-04-30,1.4418156435345384,1.2418994413407822
2018-05-31,1.4915582304206707,1.2430167597765363
2018-06-30,1.4932326617666412,1.2424581005586592
2018-07-31,1.5387923609159784,1.3212290502793296
2018-08-31,1.5876468054203017,1.3620111731843576
2018-09-30,1.56876314074168,1.2754189944134078
2018-10-31,1.5259351173403255,1.211731843575419
2018-11-30,1.426784247496866,1.2681564245810055
2018-12-31,1.4089062869626172,1.269832402234637
2019-01-31,1.4746842718171127,1.2675977653631285
2019-02-28,1.4983139357501685,1.2664804469273743
2019-03-31,1.5114470527003137,1.3636871508379889
2019-04-30,1.562890767061116,1.3787709497206704
2019-05-31,1.5307147699753008,1.399441340782123
2019-06-30,1.5850084808926839,1.3888268156424581
2019-07-31,1.5887549114730162,1.3134078212290503
2019-08-31,1.6418119560492566,1.3027932960893853
2019-09-30,1.6418123455742106,1.3581005586592179
2019-10-31,1.7062703017063066,1.4022346368715084
2019-11-30,1.7320377307008785,1.4245810055865922
2019-12-31,1.7780362764690167,1.4430167597765364
2020-01-31,1.8246492091170967,1.4208938547486034
2020-02-29,1.7669084299677238,1.3328491620111733
2020-03-31,1.6343145505733236,1.0272625698324023
2020-04-30,1.8411449022472601,1.1640223463687152
2020-05-31,1.8267151505525405,1.1327374301675976
2020-06-30,1.9391526976745224,1.2236871508379887
2020-07-31,2.1083323396755964,1.3186592178770948
2020-08-31,2.1660372021454726,1.352290502793296
2020-09-30,2.09711899210528,1.34
2020-10-31,2.13022033460176,1.3918435754189944
2020-11-30,2.2425686842774333,1.546145251396648
2020-12-31,2.346851203300645,1.665586592178771
2021-01-31,2.3217286201942766,1.6324022346368714
2021-02-28,2.3301783383976935,1.7446927374301677
2021-03-31,2.2925765716483295,1.7559776536312848
2021-04-30,2.4110224831474505,1.7541899441340782
2021-05-31,2.470416658423774,1.8635754189944134
2021-06-30,2.5174174504491718,1.8897206703910614
2021-07-31,2.5672710506101057,1.895977653631285
2021-08-31,2.6514517294200814,2.0620111731843576
2021-09-30,2.614352045432764,2.1241340782122906
2021-10-31,2.7168023408413084,2.1358659217877096
2021-11-30,2.717831617592516,2.0525139664804466
2021-12-31,2.7390033864052477,2.098212290502793
2022-01-31,2.6338892265940412,2.0964245810055866
2022-02-28,2.6284139843560377,2.031731843575419
2022-03-31,2.7757063846977235,2.1102793296089386
2022-04-30,2.7100867811276466,2.0718435754189946
2022-05-31,2.603426657287854,2.0097206703910615
2022-06-30,2.465944087515275,1.91731843575419
2022-07-31,2.628989256128426,2.0842458100558656
2022-08-31,2.6581822716812384,2.166703910614525
2022-09-30,2.5394576915642584,2.087486033519553
2022-10-31,2.597173194191322,2.1929608938547487
2022-11-30,2.6733027383093844,2.287150837988827
2022-12-31,2.6419348781001943,2.2127374301675977
2023-01-31,2.7153685564442864,2.161340782122905
2023-02-28,2.7020088890713843,2.119553072625698
2023-03-31,2.833381902469455,2.121340782122905
2023-04-30,2.869871421498975,2.204357541899441
2023-05-31,2.998440933962762,2.2755307262569833
2023-06-30,3.0372711800860466,2.3531843575419
2023-07-31,3.154260140975393,2.4310614525139664
2023-08-31,3.1061469980687018,2.37731843575419
2023-09-30,3.0764590639786515,2.421787709497207
2023-10-31,3.0720886643871053,2.35731843575419
2023-11-30,3.2650915566665093,2.481899441340782
2023-12-31,3.4182050973502243,2.677653631284916
2024-01-31,3.446545851553044,2.6844692737430167
2024-02-29,3.4762123023139773,2.717877094972067
2024-03-31,3.622514475233628,2.7593296089385477
2024-04-30,3.691083121097497,2.7939664804469273
2024-05-31,3.753276658450157,2.8061452513966483
2024-06-30,3.924113101087486,2.9886033519553075
2024-07-31,3.8799640023764947,3.1033519553072626
2024-08-31,3.9692291415726264,3.140558659217877
2024-09-30,4.0926010048352115,3.2221229050279327
2024-10-31,4.10770816945515,3.0239106145251395
2024-11-30,4.129189761021655,3.0154189944134075
2024-12-31,4.3972785504676954,2.9549720670391064
2025-01-31,4.449608181379476,2.9385474860335195
2025-02-28,4.249645059410201,2.775977653631285
2025-03-31,4.375665331446274,2.940893854748603
2025-04-30,4.425624454936689,3.0389944134078215
2025-05-31,4.548089334063866,3.105810055865922
2025-06-30,4.722154842935338,3.2012290502793297
2025-07-31,4.850777692246897,3.1202234636871506
2025-08-31,4.863973090153192,3.0844692737430166
2025-09-30,5.214667945136675,3.1007821229050276
2025-10-31,5.548512790808811,3.252290502793296
2025-11-30,5.571142812734687,3.312737430167598
2025-12-31,5.660240110062627,3.2995530726256983
2026-01-31,5.956715072937141,3.203687150837989
2026-02-28,5.9077657771736085,3.1875977653631287
2026-03-31,5.5876717636166875,2.831731843575419
2026-04-30,6.302601167193174,3.039217877094972
2026-05-31,6.618113162898629,2.9919553072625695
2026-06-30,6.3847640436349025,2.9928491620111735
