book,weighting,cagr,max_dd,calmar,sharpe,window
Nifty+Gold+Nasdaq,equal,27.8,-6.2,4.488,2.247,2022-08->2026-06
Nifty+Gold+Nasdaq,invvol,28.03,-7.92,3.541,2.185,2022-08->2026-06
Momentum+Gold+Nasdaq,equal,29.17,-8.25,3.534,2.086,2022-08->2026-06
Momentum+Gold+Nasdaq,invvol,30.77,-7.75,3.97,2.077,2022-08->2026-06
Quality+Gold+Nasdaq,equal,27.87,-7.06,3.949,2.142,2022-08->2026-06
Quality+Gold+Nasdaq,invvol,28.7,-9.65,2.974,2.105,2022-08->2026-06
Value+Gold+Nasdaq,equal,36.17,-7.36,4.916,2.443,2022-08->2026-06
Value+Gold+Nasdaq,invvol,37.86,-9.98,3.793,2.345,2022-08->2026-06
LowVol+Gold+Nasdaq,equal,28.76,-6.1,4.712,2.282,2022-08->2026-06
LowVol+Gold+Nasdaq,invvol,28.21,-8.06,3.5,2.204,2022-08->2026-06
Alpha+Gold+Nasdaq,equal,30.34,-9.8,3.097,2.045,2022-08->2026-06
Alpha+Gold+Nasdaq,invvol,31.42,-8.19,3.834,2.038,2022-08->2026-06
