date,Momentum,Quality,Value,LowVol,Alpha,Nifty50
2010-01-31,2502.39,958.49,1965.3,2842.6,3304.75,4882.05
2010-02-28,2526.87,957.79,2028.6,2900.1,3277.25,4922.3
2010-03-31,2655.16,1022.8,2132.3,3046.7,3529.18,5249.1
2010-04-30,2719.15,1017.1,2170.8,3034.4,3659.35,5278.0
2010-05-31,2595.89,976.14,2063.5,3071.5,3384.99,5086.3
2010-06-30,2659.32,1015.5,2129.69,3270.8,3497.09,5312.5
2010-07-31,2784.41,1043.09,2197.6,3219.3,3629.12,5367.6
2010-08-31,2889.83,1048.59,2285.4,3283.4,3802.28,5402.4
2010-09-30,3122.08,1160.09,2571.4,3575.6,4030.93,6029.95
2010-10-31,3270.06,1159.4,2575.5,3567.7,4227.03,6017.7
2010-11-30,3188.9,1171.59,2558.8,3527.1,4112.93,5862.7
2010-12-31,3113.0,1235.4,2683.8,3646.5,4066.85,6134.5
2011-01-31,2819.42,1131.09,2455.6,3362.4,3611.75,5505.9
2011-02-28,2748.88,1090.3,2327.0,3236.4,3388.18,5333.25
2011-03-31,2994.04,1176.8,2541.19,3480.9,3764.06,5833.75
2011-04-30,3016.41,1181.5,2522.1,3525.2,3885.14,5749.5
2011-05-31,2943.37,1174.7,2388.5,3474.2,3902.24,5560.15
2011-06-30,2951.95,1201.4,2434.9,3522.1,3957.4,5647.4
2011-07-31,2939.97,1178.9,2388.3,3488.1,4043.56,5482.0
2011-08-31,2721.56,1103.3,2164.8,3285.7,3833.92,5001.0
2011-09-30,2693.97,1076.3,2184.6,3288.7,3790.67,4943.25
2011-10-31,2830.16,1146.8,2362.3,3443.8,3951.31,5326.6
2011-11-30,2698.34,1087.4,2128.3,3272.1,3544.03,4832.05
2011-12-31,2574.1,1044.2,2092.8,3161.6,3180.22,4624.3
2012-01-31,2740.9,1125.59,2271.19,3401.7,3617.1,5199.25
2012-02-29,2855.55,1171.4,2380.9,3605.3,3901.19,5385.2
2012-03-31,2944.43,1184.4,2360.8,3595.1,3941.61,5295.55
2012-04-30,2949.87,1164.5,2326.8,3587.3,4030.24,5248.15
2012-05-31,2827.76,1116.59,2191.3,3441.3,3847.92,4924.25
2012-06-30,2970.08,1194.3,2380.19,3628.1,3949.4,5278.9
2012-07-31,2992.82,1170.0,2336.4,3648.1,3911.41,5229.0
2012-08-31,3069.08,1177.8,2345.3,3732.3,3969.67,5258.5
2012-09-30,3310.35,1268.9,2556.0,3961.3,4368.92,5703.3
2012-10-31,3284.26,1257.8,2512.4,3910.7,4389.0,5619.7
2012-11-30,3503.34,1310.5,2592.3,4050.5,4679.31,5879.85
2012-12-31,3530.15,1302.7,2603.9,4102.5,4790.81,5905.1
2013-01-31,3458.32,1327.2,2758.3,4151.2,4805.41,6034.75
2013-02-28,3350.37,1291.2,2601.9,3934.5,4485.47,5693.05
2013-03-31,3387.39,1298.9,2580.9,3928.5,4475.1,5682.55
2013-04-30,3616.11,1320.6,2633.8,4197.7,4628.6,5930.2
2013-05-31,3700.28,1351.8,2668.6,4193.5,4679.85,5985.95
2013-06-30,3596.75,1329.1,2632.9,4122.89,4358.85,5842.2
2013-07-31,3615.43,1437.6,2603.5,4063.3,4201.54,5742.0
2013-08-31,3400.18,1417.0,2519.1,3798.0,4019.0,5471.8
2013-09-30,3662.99,1479.6,2584.5,4035.9,4415.82,5735.3
2013-10-31,3870.88,1552.5,2888.1,4282.89,4722.66,6299.15
2013-11-30,3817.23,1513.0,2833.9,4198.5,4741.64,6176.1
2013-12-31,3939.08,1563.0,2918.2,4304.6,4930.49,6304.0
2014-01-31,3905.98,1568.6,2795.8,4175.8,4925.55,6089.5
2014-02-28,4026.95,1623.5,2842.8,4280.7,5278.28,6276.95
2014-03-31,4056.39,1639.8,3069.8,4611.3,5259.91,6704.2
2014-04-30,4182.03,1623.0,3092.8,4583.5,5281.23,6696.4
2014-05-31,4379.65,1656.5,3404.9,4972.89,5708.75,7229.95
2014-06-30,4821.33,1789.2,3592.3,5320.6,6472.11,7611.35
2014-07-31,4843.79,1853.0,3603.4,5368.1,6598.6,7721.3
2014-08-31,5155.69,1926.4,3731.1,5580.3,6969.89,7954.35
2014-09-30,5300.4,2011.3,3671.3,5760.4,7418.6,7964.8
2014-10-31,5611.14,2038.4,3902.4,5901.6,7622.94,8322.2
2014-11-30,5881.96,2102.6,4062.0,5992.8,8037.93,8588.25
2014-12-31,5826.1,2041.8,3861.1,5802.5,8283.31,8282.7
2015-01-31,6361.32,2195.8,3998.6,6187.4,8583.71,8808.9
2015-02-28,6405.13,2257.19,3977.0,6276.8,8721.86,8901.79
2015-03-31,6441.12,2198.5,3728.6,6120.6,9041.87,8491.0
2015-04-30,6207.59,2074.8,3661.4,5865.8,8627.15,8181.5
2015-05-31,6493.35,2147.0,3787.2,6123.8,9101.99,8433.6
2015-06-30,6454.93,2104.0,3771.2,6159.4,8975.14,8368.5
2015-07-31,6890.03,2152.5,3834.5,6359.9,9591.69,8532.85
2015-08-31,6562.2,2121.5,3564.2,6100.1,9185.35,7971.3
2015-09-30,6579.23,2114.3,3551.0,6103.3,9153.48,7948.9
2015-10-31,6586.36,2127.8,3567.3,6199.6,9341.23,8065.8
2015-11-30,6348.9,2066.4,3577.2,6195.7,9333.62,7935.25
2015-12-31,6403.94,2085.69,3579.8,6273.3,9502.57,7946.35
2016-01-31,6045.81,2025.3,3429.2,5993.3,8835.37,7563.55
2016-02-29,5552.91,1886.6,3157.2,5548.2,7756.04,6987.05
2016-03-31,6084.35,2035.1,3557.6,6030.2,8620.5,7738.4
2016-04-30,6265.79,2051.4,3552.5,6130.1,8788.79,7849.8
2016-05-31,6407.14,2115.5,3605.3,6364.2,8640.03,8160.1
2016-06-30,6586.25,2152.1,3649.0,6612.4,8685.62,8287.75
2016-07-31,7181.84,2227.4,3727.4,6879.3,9342.65,8638.5
2016-08-31,7417.2,2239.8,3777.0,6964.4,9374.27,8786.2
2016-09-30,7375.19,2199.8,3716.7,6791.5,9463.61,8611.15
2016-10-31,7509.77,2202.8,3723.2,6796.3,9851.53,8625.7
2016-11-30,7203.34,2115.8,3632.4,6481.1,8943.86,8224.5
2016-12-31,6948.67,2096.69,3652.0,6363.8,8536.01,8185.8
2017-01-31,7826.06,2132.4,3701.0,6638.9,9695.19,8561.3
2017-02-28,8086.43,2217.19,3927.2,6865.4,10352.45,8879.6
2017-03-31,8405.11,2255.19,3988.9,7072.4,10803.04,9173.75
2017-04-30,8819.64,2227.3,3969.3,7171.3,11346.23,9304.05
2017-05-31,8785.94,2308.1,4132.7,7342.3,11331.68,9621.25
2017-06-30,8674.41,2282.9,4032.5,7297.0,11462.19,9520.9
2017-07-31,9346.8,2340.19,4368.5,7638.2,12141.47,10077.1
2017-08-31,9696.35,2325.9,4284.8,7632.8,12296.68,9917.9
2017-09-30,9709.3,2311.9,4193.8,7594.2,12229.89,9788.6
2017-10-31,10288.22,2420.6,4570.5,7899.5,13481.66,10335.3
2017-11-30,10081.61,2426.8,4595.7,7879.9,13298.81,10226.55
2017-12-31,10733.76,2542.8,4732.0,8155.5,14257.54,10530.7
2018-07-31,11000.7,2763.4,5193.2,5248.25,14151.8,11356.5
2018-08-31,11594.66,2841.7,5516.0,5379.3,14877.95,11680.5
2018-09-30,10631.94,2542.75,5300.5,4793.2,12415.75,10930.45
2018-10-31,10009.27,2471.75,5071.55,4592.15,12332.7,10386.6
2018-11-30,10512.66,2585.8,5137.5,4923.05,12445.75,10876.75
2018-12-31,10471.19,2622.05,5136.75,8604.7,12191.25,10862.55
2019-01-31,10711.95,2571.85,5274.7,8456.85,11781.55,10830.95
2019-02-28,10660.86,2602.94,5317.15,8462.75,11655.2,10792.5
2019-03-31,11188.09,2742.5,5555.3,8789.29,12187.9,11623.9
2019-04-30,11474.94,2699.25,5694.15,8920.7,12250.9,11748.15
2019-05-31,11320.99,2710.95,5552.45,8929.79,12315.5,11922.8
2019-06-30,11231.11,2660.3,5459.1,8742.54,12373.9,11788.85
2019-07-31,10361.86,2509.25,5177.35,8420.35,11855.55,11118.0
2019-08-31,10283.03,2581.8,5229.95,8518.65,11809.1,11023.25
2019-09-30,10866.71,2711.6,5346.55,8825.65,12401.8,11474.45
2019-10-31,11114.52,2783.5,5557.9,9125.2,12777.25,11877.45
2019-11-30,11261.47,2712.4,5431.2,8884.9,12771.4,12056.05
2019-12-31,11490.82,2730.05,5455.95,8910.85,13071.95,12168.45
2020-01-31,11817.43,2708.15,5371.0,8896.54,13893.5,11962.1
2020-02-29,11475.15,2569.1,5071.39,8328.2,13339.4,11201.75
2020-03-31,9252.38,2107.05,4402.5,7081.55,10067.54,8597.75
2020-04-30,10540.04,2350.15,4803.55,7974.55,11722.2,9859.9
2020-05-31,10210.7,2335.8,4803.05,8047.95,11679.35,9580.29
2020-06-30,10878.78,2460.25,4987.35,8340.95,13701.05,10302.1
2020-07-31,11586.35,2635.7,5505.85,8980.79,14805.65,11073.45
2020-08-31,11659.47,2669.75,5537.2,8989.04,15442.25,11387.5
2020-09-30,12090.36,2725.8,5576.5,9234.75,16926.65,11247.55
2020-10-31,12018.25,2772.75,5724.7,9517.95,17165.85,11642.4
2020-11-30,12700.75,3036.3,6210.5,10147.4,19075.85,12968.95
2020-12-31,13654.7,3301.25,6840.95,10880.55,19836.8,13981.75
2021-01-31,13206.2,3245.4,6883.25,10720.6,19275.45,13634.6
2021-02-28,14255.15,3258.5,7075.15,10966.85,21475.1,14529.15
2021-03-31,14935.1,3357.25,7455.3,11268.6,22648.2,14690.7
2021-04-30,16351.85,3266.8,7409.35,11196.1,24547.7,14631.1
2021-05-31,17124.4,3521.95,7803.05,12042.3,26292.35,15582.8
2021-06-30,17842.65,3619.85,8064.55,12302.3,27135.0,15721.5
2021-07-31,18737.05,3634.95,8173.45,12337.95,28513.05,15763.05
2021-08-31,19420.55,3897.8,8799.54,13174.25,30213.4,17132.2
2021-09-30,19793.4,4023.2,9082.25,13603.9,31641.8,17618.15
2021-10-31,20399.3,3884.3,8744.29,13138.35,31388.8,17671.65
2021-11-30,19942.7,3790.75,8620.0,12933.05,32234.85,16983.2
2021-12-31,20774.7,3967.65,9174.35,13230.15,34605.05,17354.05
2022-01-31,19897.25,3798.0,8959.75,12939.15,33759.45,17339.84
2022-02-28,19384.75,3732.5,8694.04,12464.55,31885.3,16793.9
2022-03-31,20314.7,3785.3,9122.4,12713.3,35463.05,17464.75
2022-04-30,19443.34,3746.35,8752.65,12836.3,34333.15,17102.55
2022-05-31,17969.65,3651.9,8518.45,12696.25,30173.5,16584.55
2022-06-30,16361.5,3490.5,8078.75,11985.55,26214.1,15780.25
2022-07-31,17906.9,3860.35,8725.3,12925.05,28286.15,17158.25
2022-08-31,19405.55,3951.0,8885.0,13293.05,29957.6,17759.3
2022-09-30,18769.05,3846.6,8550.6,12859.05,29586.2,17094.35
2022-10-31,20019.85,3936.1,9013.35,13229.65,30520.5,18012.2
2022-11-30,20264.3,4031.35,9406.4,13771.4,30688.1,18758.35
2022-12-31,19444.95,3867.1,9093.6,13236.25,29685.5,18105.3
2023-01-31,18610.65,3852.3,9331.2,13127.85,27358.05,17662.15
2023-02-28,17890.95,3824.85,9189.55,12898.95,25277.2,17303.95
2023-03-31,18257.05,3816.15,9197.4,12996.85,25993.55,17359.75
2023-04-30,19315.75,3948.7,9285.4,13476.75,27659.4,18065.0
2023-05-31,20459.9,4182.8,9610.4,13965.35,29305.7,18534.4
2023-06-30,21312.9,4319.7,9861.45,14531.2,31290.15,19189.05
2023-07-31,22275.85,4368.55,10121.6,15131.7,33995.7,19753.8
2023-08-31,22211.65,4330.3,10008.5,14793.6,34723.85,19253.8
2023-09-30,23231.25,4432.85,10394.8,15035.05,36496.65,19638.3
2023-10-31,22381.7,4368.0,10091.45,14894.1,35216.15,19079.6
2023-11-30,25061.65,4673.4,10733.9,15906.8,39097.85,20133.15
2023-12-31,27352.7,5044.4,11618.7,17272.3,42306.3,21731.4
2024-01-31,29048.5,4997.2,11972.4,17429.15,47075.2,21725.7
2024-02-29,29990.8,5088.9,12284.55,17992.75,46491.55,21982.8
2024-03-31,30781.15,5112.25,12211.75,18143.9,47200.3,22326.9
2024-04-30,32577.95,5189.3,12414.35,17882.95,50494.7,22604.85
2024-05-31,34162.8,5352.0,12287.1,17865.5,53190.65,22530.7
2024-06-30,35298.95,5642.25,13047.75,19077.45,56314.8,24010.6
2024-07-31,37012.75,6000.45,14153.45,20211.65,60090.65,24951.15
2024-08-31,37102.65,6103.7,14348.25,20666.9,60274.95,25235.9
2024-09-30,37588.9,6267.7,14431.6,21433.4,60409.8,25810.85
2024-10-31,34516.1,5729.8,13625.25,19705.8,56150.2,24205.35
2024-11-30,34248.85,5716.1,13694.1,19336.4,56108.85,24131.1
2024-12-31,32825.0,5542.7,13435.0,19187.85,56293.05,23644.8
2025-01-31,29528.55,5525.95,13221.8,19283.3,49962.65,23508.4
2025-02-28,26676.7,4986.95,11966.0,17890.7,42264.05,22124.7
2025-03-31,28166.9,5229.8,12505.8,18798.85,46004.55,23519.35
2025-04-30,29270.6,5384.3,12615.05,19474.85,47670.8,24334.2
2025-05-31,30506.1,5549.75,12770.45,19655.6,51179.25,24750.7
2025-06-30,31901.15,5666.5,12961.45,20165.75,53900.45,25517.05
2025-07-31,30226.65,5506.3,12517.9,19986.45,52171.0,24768.35
2025-08-31,29637.3,5581.0,12489.8,20248.8,49066.25,24426.85
2025-09-30,29844.65,5567.55,12472.75,19921.45,48722.95,24611.1
2025-10-31,31443.35,5732.2,12943.8,20647.75,50867.3,25722.1
2025-11-30,32145.85,5830.45,13129.15,21045.05,52105.25,26202.95
2025-12-31,31147.55,5860.05,13275.55,21130.15,50309.15,26129.6
2026-01-31,30327.15,5806.6,13226.65,20447.25,48636.85,25320.65
2026-02-28,31360.95,5561.5,12890.05,20495.0,50663.15,25178.65
2026-03-31,27071.65,5033.1,11586.0,18308.4,44487.95,22331.4
2026-04-30,30157.9,5556.55,12260.75,19652.3,50876.15,23997.55
2026-05-31,30460.8,5522.95,11979.05,19513.45,52795.35,23547.75
2026-06-30,30404.75,5411.5,12012.6,19483.25,52287.15,23622.9
