,winner,nifty
2016-03-31,1.0272385551637027,1.0
2016-04-30,1.0622372120383234,1.0050568900126422
2016-05-31,1.0529121791656795,1.0448798988622
2016-06-30,1.0709577599353493,1.065739570164349
2016-07-31,1.1069165933884715,1.11378002528445
2016-08-31,1.1208423603831106,1.1327433628318584
2016-09-30,1.1280040302644108,1.1106194690265487
2016-10-31,1.1471439846458784,1.1144121365360304
2016-11-30,1.217516044484471,1.0606826801517069
2016-12-31,1.179068368713581,1.0556257901390647
2017-01-31,1.256751355357901,1.1024020227560052
2017-02-28,1.3381310777838114,1.1460176991150444
2017-03-31,1.2977046902621943,1.1858407079646018
2017-04-30,1.2913289343001513,1.2010113780025284
2017-05-31,1.3298789075634574,1.2414664981036663
2017-06-30,1.315100142510902,1.2338811630847029
2017-07-31,1.359170985289438,1.3072060682680153
2017-08-31,1.3698812847673432,1.2914032869785084
2017-09-30,1.3722083653356105,1.276864728192162
2017-10-31,1.3917220740291363,1.3463969658659924
2017-11-30,1.4032479383415037,1.3369152970922884
2017-12-31,1.4481733240515766,1.3710493046776233
2018-08-31,1.4950720676975642,1.5410872313527182
2018-09-30,1.4566831629923296,1.443109987357775
2018-10-31,1.470900782089378,1.3710493046776233
2018-11-30,1.409696579245577,1.4348925410872315
2018-12-31,1.4251220880249191,1.4367888748419724
2019-01-31,1.492649597998448,1.4342604298356512
2019-02-28,1.5040873466633307,1.4329962073324904
2019-03-31,1.4885500627806327,1.542983565107459
2019-04-30,1.524986526025119,1.5600505689001265
2019-05-31,1.5030699816951663,1.5834386852085969
2019-06-30,1.5542601020082405,1.5714285714285714
2019-07-31,1.5388525131884971,1.486093552465234
2019-08-31,1.6116360927513245,1.4740834386852086
2019-09-30,1.6248931326988365,1.5366624525916561
2019-10-31,1.6779657182203467,1.5865992414664982
2019-11-30,1.6913134236050675,1.6118836915297095
2019-12-31,1.73812681186246,1.6327433628318586
2020-01-31,1.8064343949019408,1.6077117572692796
2020-02-29,1.772581136412894,1.5080910240202277
2020-03-31,1.6453857217160117,1.1623261694058156
2020-04-30,1.8509161661504607,1.3170670037926677
2020-05-31,1.828976056257618,1.2816687737041719
2020-06-30,1.9287045107610437,1.3845764854614413
2020-07-31,2.095698781903115,1.4920353982300885
2020-08-31,2.1403449835634207,1.5300884955752214
2020-09-30,2.0918104535338062,1.5161820480404553
2020-10-31,2.0949644439954254,1.574841972187105
2020-11-30,2.154122534753224,1.7494310998735778
2020-12-31,2.244392741532189,1.8845764854614413
2021-01-31,2.21226090267958,1.8470290771175728
2021-02-28,2.205766183348599,1.9740834386852089
2021-03-31,2.1863169075803954,1.9868520859671304
2021-04-30,2.3699894865574187,1.9848293299620734
2021-05-31,2.4169694602191636,2.108596713021492
2021-06-30,2.487865212668268,2.138179519595449
2021-07-31,2.5806470415442813,2.145259165613148
2021-08-31,2.6195576410952124,2.3331226295828067
2021-09-30,2.5823253460865985,2.403413400758534
2021-10-31,2.7010394866845386,2.4166877370417197
2021-11-30,2.7067374099949904,2.322376738305942
2021-12-31,2.7485622402680554,2.3740834386852088
2022-01-31,2.6093495208169366,2.372060682680152
