book,mode,cagr,max_dd,calmar,sharpe
Nifty50+Gold+Nasdaq,equal,17.14,-11.33,1.513,1.387
Nifty50+Gold+Nasdaq,invvol,17.02,-11.25,1.512,1.481
Momentum+Gold+Nasdaq,equal,19.52,-14.64,1.334,1.479
Momentum+Gold+Nasdaq,invvol,19.98,-12.46,1.603,1.577
Quality+Gold+Nasdaq,equal,16.69,-11.48,1.454,1.366
Quality+Gold+Nasdaq,invvol,16.91,-9.35,1.809,1.463
Value+Gold+Nasdaq,equal,17.46,-11.91,1.465,1.418
Value+Gold+Nasdaq,invvol,17.44,-9.54,1.829,1.533
LowVol+Gold+Nasdaq,equal,19.99,-10.46,1.912,1.444
LowVol+Gold+Nasdaq,invvol,20.24,-9.49,2.133,1.5
Alpha+Gold+Nasdaq,equal,20.72,-16.94,1.223,1.45
Alpha+Gold+Nasdaq,invvol,20.8,-13.66,1.523,1.524
Momentum+LowVol+Gold+Nasdaq,equal,19.14,-13.07,1.465,1.446
Momentum+LowVol+Gold+Nasdaq,invvol,19.04,-12.74,1.494,1.47
Momentum+Quality+Gold+Nasdaq,equal,16.63,-13.73,1.211,1.347
Momentum+Quality+Gold+Nasdaq,invvol,16.47,-12.77,1.289,1.385
Momentum+Alpha+Gold+Nasdaq,equal,19.57,-17.57,1.113,1.369
Momentum+Alpha+Gold+Nasdaq,invvol,19.47,-15.33,1.27,1.423
Momentum+Value+Gold+Nasdaq,equal,17.21,-13.84,1.244,1.393
Momentum+Value+Gold+Nasdaq,invvol,16.96,-12.35,1.373,1.443
Alpha+LowVol+Gold+Nasdaq,equal,20.04,-14.22,1.41,1.433
Alpha+LowVol+Gold+Nasdaq,invvol,19.73,-14.72,1.34,1.448
Quality+LowVol+Gold+Nasdaq,equal,16.99,-11.54,1.473,1.345
Quality+LowVol+Gold+Nasdaq,invvol,16.83,-12.95,1.3,1.36
