week,view,conv,bucket,adx,gap_pct,spot,long_k,short_k,iv,dte0,debit,rr,exit_date,pnl
2024-03-18,neutral_to_bearish,4,normal,11.7,-0.15,21963.9,22000,21800,0.189,10,89.5,1.23,2024-03-22,-18038
2024-05-13,bearish,3,normal,16.6,-0.12,21857.4,21900,21700,0.252,10,93.4,1.14,2024-05-17,-27853
2024-07-01,bullish,2,normal,12.1,-0.07,24080.3,24100,24300,0.146,10,88.1,1.27,2024-07-05,15392
2024-08-05,neutral_to_bearish,4,normal,19.2,-1.68,24271.4,24300,24100,0.13,9,83.6,1.39,2024-08-09,-8989
2024-09-16,bullish,4,normal,20.0,0.2,25434.8,25400,25600,0.105,10,95.0,1.1,2024-09-20,23068
2024-09-23,bullish,2,normal,20.7,0.32,25891.8,25900,26100,0.125,10,89.4,1.24,2024-09-27,21763
2024-10-07,neutral_to_bearish,4,wide,26.4,0.28,25072.0,25100,24900,0.095,10,78.2,1.56,2024-10-11,8017
2024-10-28,neutral_to_bearish,5,wide,27.2,0.29,24148.8,24100,23900,0.23,10,85.1,1.35,2024-11-01,-9964
2024-11-18,neutral_to_bearish,4,wide,40.9,0.31,23368.3,23400,23200,0.179,10,88.8,1.25,2024-11-22,-20899
2024-12-09,bullish,3,normal,22.0,-0.18,24644.5,24600,24800,0.136,10,96.8,1.07,2024-12-13,7160
2025-02-17,bearish,3,normal,23.1,-0.52,22778.7,22800,22600,0.239,10,91.1,1.19,2025-02-21,-6448
2025-03-03,bearish,5,normal,33.6,0.32,22130.3,22100,21900,0.146,10,76.4,1.62,2025-03-07,-21165
2025-03-10,bullish,4,normal,33.0,-0.14,22653.8,22700,22900,0.069,10,67.7,1.95,2025-03-13,-14965
2025-04-21,neutral_to_bullish,4,wide,20.4,0.41,24030.0,24000,24200,0.189,9,94.9,1.11,2025-04-25,614
2025-05-12,neutral_to_bullish,3,normal,20.2,1.72,24591.7,24600,24800,0.322,10,93.6,1.14,2025-05-16,22223
2025-06-23,neutral_to_bearish,4,normal,10.1,-0.69,24871.3,24900,24700,0.172,10,88.4,1.26,2025-06-27,-27258
2025-07-14,bearish,3,normal,20.4,-0.0,25090.0,25100,24900,0.116,10,79.2,1.52,2025-07-18,4572
2025-10-20,bullish,3,normal,18.8,0.45,25840.9,25800,26000,0.112,8,94.6,1.11,2025-10-24,-9458
2025-11-17,bullish,4,normal,17.8,0.15,25971.4,26000,26200,0.131,8,84.4,1.37,2025-11-21,4688
2026-01-12,neutral_to_bearish,3,wide,13.6,-0.06,25557.6,25600,25400,0.215,8,92.2,1.17,2026-01-16,-17394
2026-03-09,neutral_to_bearish,4,normal,23.8,-2.38,23735.7,23700,23500,0.448,8,94.0,1.13,2026-03-13,20055
