week,view,conv,bucket,side,adx,spot,long_k,short_k,r1,s1,debit,dte0,base_pnl
2024-03-18,neutral_to_bearish,4,normal,BEAR,11.7,21963.9,22000,21800,22398.1,21777.1,58.8,10,-8044
2024-05-13,bearish,3,normal,BEAR,16.6,21857.4,21900,21700,22451.9,21795.5,43.5,10,-11635
2024-07-01,bullish,2,normal,BULL,12.1,24080.3,24100,24300,24339.7,23515.7,102.2,10,10822
2024-08-05,neutral_to_bearish,4,normal,BEAR,19.2,24271.4,24300,24100,24968.4,24576.9,95.7,9,-12919
2024-09-16,bullish,4,normal,BULL,20.0,25434.8,25400,25600,25608.8,24928.7,99.5,10,21596
2024-09-23,bullish,2,normal,BULL,20.7,25891.8,25900,26100,25998.3,25434.6,102.2,10,17599
2024-10-07,neutral_to_bearish,4,wide,BEAR,26.4,25072.0,25100,24900,25777.3,24609.4,105.9,10,-991
2024-10-28,neutral_to_bearish,5,wide,BEAR,27.2,24148.8,24100,23900,24748.1,23843.7,44.2,10,3331
2024-11-18,neutral_to_bearish,4,wide,BEAR,40.9,23368.3,23400,23200,24084.9,23232.3,61.0,10,-11863
2024-12-09,bullish,3,normal,BULL,22.0,24644.5,24600,24800,25020.8,24171.7,96.8,10,7166
2025-02-17,bearish,3,normal,BEAR,23.1,22778.7,22800,22600,23406.9,22613.2,53.5,10,5801
2025-03-03,bearish,5,normal,BEAR,33.6,22130.3,22100,21900,22493.6,21930.3,64.1,10,-17160
2025-03-10,bullish,4,normal,BULL,33.0,22653.8,22700,22900,22802.7,22133.5,52.4,10,-9994
2025-04-21,neutral_to_bullish,4,wide,BULL,20.4,24030.0,24000,24200,24080.3,23415.0,114.1,9,-5623
2025-05-12,neutral_to_bullish,3,normal,BULL,20.2,24591.7,24600,24800,24377.7,23787.0,144.9,10,5558
2025-06-23,neutral_to_bearish,4,normal,BEAR,10.1,24871.3,24900,24700,25264.5,24831.9,62.9,10,-18948
2025-07-14,bearish,3,normal,BEAR,20.4,25090.0,25100,24900,25422.7,25003.0,68.8,10,7962
2025-10-20,bullish,3,normal,BULL,18.8,25840.9,25800,26000,25974.0,25253.1,106.7,8,-13390
2025-11-17,bullish,4,normal,BULL,17.8,25971.4,26000,26200,26130.8,25569.3,95.4,8,1105
2026-01-12,neutral_to_bearish,3,wide,BEAR,13.6,25557.6,25600,25400,26163.3,25413.1,34.4,8,1414
2026-03-09,neutral_to_bearish,4,normal,BEAR,23.8,23735.7,23700,23500,24858.1,24174.1,49.0,8,34710
