symbol,entry_date,entry_price,exit_date,exit_price,exit_reason,bars_held,return_pct,pnl_inr,shares,seed
SBIN,2005-02-23,64.43,2005-03-24,62.45,"SuperTrend(14,4) trail",21,-3.56,-2237,974,20
OFSS,2005-05-23,349.5,2005-10-19,515.0,"SuperTrend(14,4) trail",104,46.62,29564,181,20
INDUSINDBK,2005-05-27,64.0,2005-10-11,68.0,"SuperTrend(14,4) trail",95,5.72,3659,997,20
KPIL,2005-06-06,54.21,2005-06-07,54.45,"SuperTrend(14,4) trail",1,-0.06,-37,1181,20
CUMMINSIND,2005-06-07,97.86,2005-10-20,101.07,"SuperTrend(14,4) trail",93,2.77,1780,656,20
NOCIL,2005-06-07,27.1,2005-10-18,29.0,"SuperTrend(14,4) trail",91,6.48,4172,2371,20
IOB,2005-06-09,86.0,2005-06-30,74.3,"SuperTrend(14,4) trail",15,-14.04,-9051,748,20
ASHOKLEY,2005-06-09,4.3,2005-10-21,4.3,"SuperTrend(14,4) trail",92,-0.5,-322,14972,20
LUPIN,2005-06-13,69.9,2006-06-02,98.5,"SuperTrend(14,4) trail",241,40.21,25558,907,20
KOPRAN,2005-06-16,92.1,2005-09-23,64.05,"SuperTrend(14,4) trail",68,-30.8,-19510,686,20
SUNPHARMA,2005-06-16,50.14,2005-10-28,50.67,"SuperTrend(14,4) trail",92,0.55,350,1260,20
RELIANCE,2005-06-21,58.0,2006-05-19,120.35,"SuperTrend(14,4) trail",225,106.47,66733,1078,20
MPHASIS,2005-06-22,87.3,2005-08-25,67.4,"SuperTrend(14,4) trail",44,-23.18,-14566,718,20
ONGC,2005-06-23,101.5,2005-10-20,100.6,"SuperTrend(14,4) trail",81,-1.38,-868,618,20
M&M,2005-06-23,72.7,2006-05-25,140.74,"SuperTrend(14,4) trail",227,92.62,58258,863,20
CIPLA,2005-07-04,128.22,2006-04-26,255.0,"SuperTrend(14,4) trail",199,97.88,63540,505,20
TVTODAY,2005-07-05,107.4,2005-09-23,95.0,"SuperTrend(14,4) trail",55,-11.99,-7679,595,20
KTKBANK,2005-07-07,62.77,2005-10-18,58.25,"SuperTrend(14,4) trail",69,-7.66,-4847,1005,20
GESHIP,2005-08-31,150.91,2006-05-22,189.98,"SuperTrend(14,4) trail",177,25.26,17733,464,20
WIPRO,2005-10-05,39.15,2005-10-31,35.85,"SuperTrend(14,4) trail",17,-8.89,-6347,1820,20
BIOCON,2005-10-24,44.4,2006-02-21,38.0,"SuperTrend(14,4) trail",81,-14.84,-9698,1468,20
TITAN,2005-11-09,28.3,2006-01-27,35.26,"SuperTrend(14,4) trail",55,23.97,15677,2305,20
ASHOKLEY,2005-11-18,6.3,2006-05-22,8.0,"SuperTrend(14,4) trail",125,26.35,17736,10657,20
IOC,2005-11-29,27.68,2006-02-02,26.12,"SuperTrend(14,4) trail",45,-6.11,-4189,2472,20
NATIONALUM,2005-12-02,52.39,2006-05-19,69.52,"SuperTrend(14,4) trail",113,32.04,22058,1311,20
KOTAKBANK,2005-12-02,11.0,2006-05-23,15.1,"SuperTrend(14,4) trail",115,36.59,25193,6244,20
PTC,2005-12-05,62.0,2006-06-07,56.45,"SuperTrend(14,4) trail",125,-9.41,-6442,1102,20
MPHASIS,2005-12-07,94.1,2006-06-08,102.9,"SuperTrend(14,4) trail",124,8.81,6031,726,20
OFSS,2005-12-09,658.5,2006-04-28,788.0,"SuperTrend(14,4) trail",93,19.07,13344,106,20
MANGLMCEM,2006-01-31,94.4,2006-05-23,170.05,"SuperTrend(14,4) trail",75,79.24,58491,780,20
MCLEODRUSS,2006-02-07,95.0,2006-05-22,112.25,"SuperTrend(14,4) trail",69,17.57,13385,800,20
TATASTEEL,2006-03-03,35.42,2006-05-19,45.68,"SuperTrend(14,4) trail",51,28.32,23272,2314,20
DCMSHRIRAM,2006-04-28,110.0,2006-05-23,104.0,"SuperTrend(14,4) trail",17,-5.93,-5757,881,20
WELENT,2006-05-03,137.95,2006-05-23,101.0,"SuperTrend(14,4) trail",14,-27.15,-27522,733,20
INFY,2006-07-13,218.5,2007-03-01,260.0,"SuperTrend(14,4) trail",157,18.4,15960,396,20
MAHSEAMLES,2006-08-17,188.0,2007-03-08,226.5,"SuperTrend(14,4) trail",138,19.88,17308,462,20
OFSS,2006-08-17,1008.5,2006-12-22,1264.0,"SuperTrend(14,4) trail",89,24.71,21484,86,20
JAGRAN,2006-08-22,46.51,2008-01-23,103.78,"SuperTrend(14,4) trail",356,122.02,106278,1868,20
ZEEL,2006-08-28,85.73,2006-12-12,93.07,"SuperTrend(14,4) trail",74,8.02,6962,1010,20
GHCL,2006-08-31,194.0,2006-12-13,168.7,"SuperTrend(14,4) trail",72,-13.47,-11610,443,20
SUNPHARMA,2006-09-04,83.38,2007-07-31,92.68,"SuperTrend(14,4) trail",225,10.6,9214,1040,20
DIVISLAB,2006-09-05,107.5,2006-12-12,135.0,"SuperTrend(14,4) trail",68,24.96,21730,808,20
BHARTIARTL,2006-09-07,209.55,2007-03-06,341.1,"SuperTrend(14,4) trail",121,61.97,53501,411,20
BANKINDIA,2006-09-15,148.13,2006-12-13,160.28,"SuperTrend(14,4) trail",61,7.66,6668,586,20
EKC,2006-09-18,94.98,2008-01-22,290.0,"SuperTrend(14,4) trail",336,203.8,177175,913,20
GRASIM,2006-09-18,422.4,2006-12-13,424.8,"SuperTrend(14,4) trail",60,0.07,58,205,20
ESCORTS,2006-09-19,122.9,2006-12-13,101.0,"SuperTrend(14,4) trail",59,-18.23,-15632,696,20
VOLTAS,2006-09-21,110.09,2006-10-23,95.39,"SuperTrend(14,4) trail",22,-13.78,-11867,780,20
GESHIP,2006-09-21,233.45,2006-11-28,220.0,"SuperTrend(14,4) trail",46,-6.23,-5367,368,20
RCOM-BE,2006-09-21,345.2,2006-12-13,407.1,"SuperTrend(14,4) trail",57,17.34,14945,249,20
INDIACEM,2006-11-29,238.15,2006-12-13,190.0,"SuperTrend(14,4) trail",10,-20.62,-20623,419,20
UFLEX,2006-12-18,120.9,2007-05-04,163.15,"SuperTrend(14,4) trail",90,34.27,33190,799,20
KTKBANK,2006-12-20,75.27,2007-08-22,91.56,"SuperTrend(14,4) trail",165,21.04,20238,1275,20
HAVELLS,2006-12-28,37.31,2007-03-07,42.46,"SuperTrend(14,4) trail",45,13.24,13025,2631,20
JSWSTEEL,2007-01-03,39.56,2007-08-10,61.11,"SuperTrend(14,4) trail",150,53.7,53906,2531,20
AUROPHARMA,2007-01-03,73.0,2007-02-27,67.88,"SuperTrend(14,4) trail",36,-7.48,-7502,1371,20
PRAJIND,2007-01-03,107.45,2007-07-16,200.0,"SuperTrend(14,4) trail",131,85.2,85448,931,20
ABAN-BE,2007-01-03,1662.0,2007-08-17,2695.0,"SuperTrend(14,4) trail",154,61.35,61326,60,20
